ts;externalTemperature;humidity;light;motion;temperature;vdd
1596445315293;19.7;54;10;2;21.3;3559
1596445613655;19.5;54;10;3;21.3;3559
1596445914472;19.6;54;10;2;21.3;3561
1596446212768;19.6;54;11;3;21.3;3561
1596446514477;19.7;54;38;2;21.3;3561
1596446823553;19.6;54;36;3;21.3;3559
1596447112689;19.7;54;6;2;21.3;3561
1596447413422;19.7;54;5;3;21.3;3561
1596447715344;19.6;54;7;2;21.4;3561
1596448014698;19.6;54;12;3;21.3;3561
1596448313050;19.9;54;35;2;21.3;3561
1596448615244;19.8;54;34;3;21.3;3561
1596448914304;19.8;54;33;2;21.3;3559
1596449213449;19.7;54;34;3;21.3;3561
1596449514911;19.8;54;35;2;21.4;3559
1596449815245;19.7;54;38;3;21.4;3564
1596450117446;19.8;54;36;2;21.4;3559
1596450419396;19.9;54;11;3;21.4;3564
1596450714938;19.9;54;28;2;21.4;3561
1596451012772;19.8;54;8;3;21.4;3561
1596451314788;19.9;54;31;2;21.4;3561
1596451612946;19.9;54;31;3;21.4;3561
1596451914707;20;53;21;2;21.4;3561
1596452213188;19.9;53;26;3;21.4;3559
1596452512590;19.9;54;14;2;21.4;3561
1596452812600;19.9;53;28;3;21.4;3561
1596453114126;19.9;54;31;2;21.4;3561
1596453412391;19.9;54;35;3;21.5;3561
1596453713509;20;53;35;2;21.5;3561
1596454012984;20;53;34;3;21.5;3564
1596454312614;20.1;53;34;2;21.5;3561
1596454613532;20;53;37;3;21.5;3561
1596454913533;20.1;53;19;2;21.5;3564
1596455212143;20;53;49;3;21.5;3564
1596455513538;20.1;53;41;2;21.5;3561
1596455812777;20.1;53;39;3;21.5;3561
1596456111947;20.1;53;37;2;21.5;3564
1596456413840;20.2;53;37;3;21.5;3561
1596456715021;20.1;53;38;2;21.5;3561
1596457013784;20.2;53;45;3;21.6;3559
1596457314878;20.3;53;8;2;21.6;3561
1596457612906;20.1;53;9;3;21.5;3561
1596457912996;20.2;53;38;2;21.6;3561
1596458217852;20.1;53;40;3;21.6;3561
1596458512308;20.1;53;39;2;21.6;3561
1596458812793;20.1;53;8;3;21.6;3564
1596459111989;20.1;53;9;2;21.6;3561
1596459411656;20.1;53;35;3;21.6;3561
1596459711755;20.2;53;33;2;21.6;3561
1596460013245;20.2;53;31;3;21.7;3561
1596460312759;20;53;28;2;21.6;3561
1596460614241;20;53;35;3;21.6;3564
1596460912789;20.2;53;24;2;21.6;3559
1596461212583;20.1;53;43;3;21.6;3561
1596461512737;20.2;53;47;2;21.6;3561
1596461814669;20.3;53;45;3;21.6;3561
1596462113769;20.1;53;46;2;21.6;3564
1596462414186;20.2;53;19;3;21.6;3561
1596462712985;20.4;53;66;2;21.7;3561
1596463011944;20.3;53;81;3;21.6;3561
1596463312207;20.3;53;98;2;21.6;3564
1596463612718;20.6;53;128;3;21.7;3561
1596464211924;20.6;53;107;3;21.7;3561
1596464512466;20.3;53;19;2;21.7;3561
1596464811167;20.4;53;82;3;21.7;3564
1596465112053;20.4;53;58;2;21.7;3564
1596465411625;20.4;53;66;3;21.8;3564
1596465713102;20.6;53;121;2;21.7;3561
1596466013029;20.7;53;129;3;21.8;3564
1596466312218;20.7;53;109;2;21.8;3564
1596466611944;20.6;53;103;3;21.8;3561
1596466914028;20.4;53;53;2;21.8;3561
1596467211495;20.3;53;36;3;21.8;3564
1596467513067;20.3;53;6;2;21.8;3564
1596467811584;20.3;53;5;3;21.7;3561
1596468111266;20.2;53;6;2;21.8;3564
1596468411064;20.2;53;9;3;21.8;3564
1596468713331;20.1;53;9;2;21.8;3561
1596469011165;20.2;53;11;3;21.8;3564
1596469311238;20.2;53;17;2;21.7;3564
1596469612822;20;53;16;3;21.7;3564
1596469912059;20.1;53;13;2;21.8;3564
1596470211067;20.2;53;9;3;21.7;3564
1596470510960;20.1;53;8;2;21.7;3561
1596470811185;20;53;9;3;21.7;3564
1596471112472;20;53;6;2;21.7;3564
1596471411261;19.9;53;3;3;21.7;3564
1596471711726;20;53;2;2;21.7;3564
1596472011851;19.9;53;2;3;21.6;3564
1596472310783;19.9;53;2;2;21.7;3564
1596472612046;19.8;53;2;3;21.7;3564
1596472911354;20;53;1;2;21.6;3561
1596473212294;20;53;1;3;21.7;3561
1596473512937;19.9;54;1;2;21.6;3561
1596473811873;19.8;54;1;3;21.6;3564
1596474112136;19.8;54;1;2;21.6;3564
1596474412616;19.8;54;1;3;21.6;3561
1596474711572;19.8;54;1;2;21.6;3561
1596475011403;19.7;54;1;3;21.6;3564
1596475313219;19.9;54;0;2;21.6;3564
1596475611641;19.7;54;0;3;21.6;3564
1596475911584;19.7;54;0;2;21.6;3564
1596476210403;19.8;54;0;3;21.6;3564
1596476517076;19.7;54;0;2;21.6;3564
1596476811503;19.7;54;0;3;21.6;3564
1596477111215;19.7;54;0;2;21.6;3561
1596477411602;19.7;54;0;3;21.6;3564
1596477712115;19.6;54;0;2;21.5;3561
1596478010671;19.8;54;0;3;21.5;3564
1596478314123;19.7;54;0;2;21.5;3561
1596478612163;19.8;54;0;3;21.5;3564
1596478913462;19.7;54;0;2;21.5;3561
1596479210985;19.8;54;0;3;21.5;3561
1596479510170;19.7;54;0;2;21.5;3564
1596479812203;19.6;54;0;3;21.5;3564
1596480110532;19.6;54;0;2;21.5;3561
1596480410389;19.6;54;0;3;21.5;3561
1596480710396;19.7;54;0;2;21.5;3561
1596481010184;19.7;54;0;3;21.5;3561
1596481310812;19.6;54;0;2;21.4;3564
1596481610369;19.6;54;0;3;21.5;3561
1596481911376;19.6;55;0;2;21.4;3561
1596482210625;19.6;55;0;3;21.5;3561
1596482511983;19.4;55;0;2;21.4;3564
1596482812023;19.5;55;0;3;21.4;3559
1596483111183;19.5;55;0;2;21.4;3561
1596483412790;19.4;55;0;3;21.4;3561
1596483709990;19.6;55;0;2;21.4;3561
1596484017429;19.4;55;0;3;21.4;3561
1596484311574;19.5;55;0;2;21.4;3561
1596484611579;19.4;55;0;3;21.4;3561
1596484911428;19.5;55;0;2;21.4;3561
1596485210792;19.5;55;0;3;21.4;3564
1596485510214;19.4;55;0;2;21.4;3561
1596485812493;19.4;55;0;3;21.4;3564
1596486111645;19.5;55;0;2;21.4;3564
1596486412184;19.6;55;0;3;21.4;3564
1596486711331;19.4;55;0;2;21.3;3561
1596487013222;19.4;55;0;3;21.4;3561
1596487311230;19.5;55;0;2;21.4;3561
1596487610983;19.6;55;0;3;21.3;3564
1596487911146;19.5;55;0;2;21.3;3564
1596488212898;19.5;55;0;3;21.3;3559
1596488510604;19.4;55;0;2;21.3;3561
1596488809722;19.4;55;0;3;21.3;3561
1596489112458;19.4;55;0;2;21.3;3561
1596489412873;19.3;55;0;3;21.3;3561
1596489710063;19.4;55;0;2;21.3;3561
1596490016595;19.5;55;0;3;21.3;3559
1596490311234;19.4;55;0;2;21.3;3559
1596490611622;19.3;55;0;3;21.3;3561
1596490909385;19.3;55;0;2;21.3;3561
1596491211127;19.4;55;0;3;21.3;3561
1596491509378;19.4;55;0;2;21.3;3561
1596491813657;19.4;55;0;3;21.3;3561
1596492110517;19.4;55;0;2;21.3;3564
1596492411507;19.3;55;0;3;21.3;3561
1596492709617;19.3;55;0;2;21.3;3561
1596493010239;19.3;55;0;3;21.3;3561
1596493310023;19.3;55;0;2;21.3;3564
1596493613129;19.3;55;0;3;21.3;3561
1596493909822;19.4;55;0;2;21.3;3561
1596494212160;19.5;55;0;3;21.3;3561
1596494508950;19.4;55;0;2;21.2;3561
1596494810642;19.4;55;0;3;21.3;3561
1596495109784;19.3;55;0;2;21.2;3561
1596495417358;19.4;55;0;3;21.2;3559
1596495708804;19.3;55;0;2;21.3;3561
1596496009247;19.4;55;0;3;21.2;3559
1596496310640;19.4;55;0;2;21.3;3559
1596496609391;19.4;55;0;3;21.2;3561
1596496910388;19.3;55;0;2;21.2;3559
1596497210751;19.3;55;0;3;21.2;3561
1596497509101;19.3;55;0;2;21.2;3559
1596497811523;19.2;55;0;3;21.2;3561
1596498110664;19.3;55;0;2;21.2;3559
1596498421206;19.3;55;0;3;21.2;3561
1596498710508;19.3;55;0;2;21.2;3561
1596499011831;19.3;55;0;3;21.2;3561
1596499313752;19.4;55;0;2;21.2;3559
1596499609647;19.2;55;0;3;21.2;3561
1596499910164;19.3;55;0;2;21.2;3561
1596500210665;19.4;55;0;3;21.2;3561
1596500509392;19.4;55;0;2;21.2;3561
1596500810584;19.3;55;0;3;21.2;3561
1596501112597;19.2;55;0;2;21.1;3561
1596501410584;19.3;55;0;3;21.1;3561
1596501712862;19.2;55;0;2;21.1;3561
1596502014213;19.2;55;0;3;21.1;3559
1596502310768;19.2;55;0;2;21.2;3559
1596502610384;19.3;55;0;3;21.2;3561
1596502912173;19.2;55;0;2;21.1;3559
1596503210766;19.4;55;0;3;21.1;3559
1596503509583;19.2;55;0;2;21.1;3561
1596503810625;19.2;55;0;3;21.2;3561
1596504109926;19.3;55;0;2;21.2;3559
1596504410921;19.2;55;0;3;21.1;3561
1596504709927;19.2;55;0;2;21.1;3559
1596505014900;19.3;55;0;3;21.2;3559
1596505308914;19.2;55;0;2;21.1;3561
1596505610014;19.3;55;0;3;21.1;3561
1596505908401;19.2;55;0;2;21.1;3559
1596506210499;19.3;55;1;3;21.1;3561
1596506509849;19.2;55;1;2;21.1;3559
1596506809407;19.2;55;1;3;21.1;3561
1596507108384;19.2;55;1;2;21.1;3559
1596507410149;19.2;54;1;3;21.1;3561
1596507709784;19.4;54;1;2;21.1;3559
1596508014458;19.2;54;1;3;21.1;3559
1596508308965;19.3;54;2;2;21.1;3559
1596508610652;19.3;54;2;3;21.1;3561
1596508909271;19.2;55;2;2;21.1;3559
1596509209146;19.3;54;2;3;21.1;3561
1596509509766;19.2;54;3;2;21;3561
1596509808822;19.3;54;3;3;21.1;3559
1596510109247;19.2;54;3;2;21.1;3561
1596510409398;19.1;54;3;3;21.1;3559
1596510708804;19.2;54;4;2;21.1;3559
1596511009427;19.4;54;4;3;21.1;3559
1596511308257;19.3;54;4;2;21;3561
1596511608759;19.2;54;5;3;21.1;3561
1596511908818;19.3;54;5;2;21.1;3561
1596512208384;19.3;54;5;3;21.1;3561
1596512509583;19.3;54;5;2;21.1;3559
1596512809648;19.4;54;5;3;21.1;3559
1596513108862;19.5;54;6;2;21.1;3559
1596513409310;19.4;54;6;3;21.1;3561
1596513708998;19.3;54;6;2;21.1;3559
1596514009630;19.4;54;6;3;21.1;3561
1596514308517;19.3;54;7;2;21.1;3559
