ts;co2;humidity;light;motion;temperature;vdd
1596229759244;415;45;1;0;24;3631
1596230806417;408;45;1;0;24;3634
1596231016308;408;45;1;0;24;3631
1596231312739;407;45;1;0;23.9;3634
1596231466935;413;45;1;0;23.9;3631
1596231854299;409;46;1;0;23.9;3631
1596232157432;407;46;1;0;23.9;3631
1596232458378;403;46;1;0;23.9;3631
1596232756393;409;46;1;0;23.8;3631
1596233051714;416;46;1;0;23.8;3631
1596233356886;401;46;1;0;23.8;3631
1596233649748;410;46;1;0;23.9;3631
1596233954772;417;46;1;0;23.8;3634
1596234252861;404;46;1;0;23.8;3634
1596234556033;406;46;1;0;23.8;3631
1596234858033;403;46;1;0;23.8;3634
1596235150136;413;46;1;0;23.8;3631
1596235451930;410;46;1;0;23.8;3637
1596235749216;411;46;1;0;23.8;3631
1596236054924;412;46;1;0;23.8;3634
1596236351744;407;46;1;0;23.8;3634
1596236649717;406;46;1;0;23.7;3631
1596236952838;399;46;1;0;23.7;3631
1596237250844;414;46;1;0;23.7;3634
1596237549758;413;46;1;0;23.8;3631
1596237854363;413;46;1;0;23.7;3634
1596238152659;406;46;1;0;23.7;3634
1596238455871;411;46;1;0;23.7;3634
1596238748493;410;46;1;0;23.7;3634
1596239055139;408;46;1;0;23.7;3631
1596239369849;411;46;1;0;23.6;3631
1596239653967;409;46;1;0;23.7;3631
1596239954536;418;46;1;0;23.7;3631
1596240250523;415;46;1;0;23.7;3631
1596240549251;410;46;1;0;23.7;3631
1596240861245;415;46;1;0;23.7;3634
1596241155564;420;46;1;0;23.6;3631
1596241455490;407;46;1;0;23.6;3631
1596241752292;410;47;1;0;23.6;3631
1596242053299;413;46;1;0;23.6;3634
1596242352816;412;47;1;0;23.6;3634
1596242651589;415;47;1;0;23.6;3634
1596242950237;417;47;1;0;23.6;3634
1596243256096;416;47;1;0;23.6;3634
1596243548270;412;47;1;0;23.6;3634
1596243854590;417;47;1;0;23.6;3631
1596244153288;415;47;1;0;23.6;3631
1596244450392;415;47;1;0;23.6;3631
1596244752233;417;47;1;0;23.6;3631
1596245054180;412;47;1;0;23.6;3631
1596245360425;421;47;1;0;23.6;3631
1596245656337;414;47;1;0;23.5;3631
1596245957229;414;47;1;0;23.6;3631
1596246254425;417;47;1;0;23.6;3631
1596246554927;416;47;1;0;23.5;3634
1596246857951;425;47;2;0;23.5;3634
1596247156958;424;47;2;0;23.6;3631
1596247452479;413;47;2;0;23.5;3631
1596247751592;414;47;3;0;23.5;3634
1596248056850;410;47;3;0;23.5;3631
1596248358379;417;47;4;0;23.5;3631
1596248654509;420;47;4;0;23.5;3631
1596248954351;409;47;5;0;23.5;3631
1596249253213;415;47;6;0;23.5;3631
1596249552411;422;47;7;0;23.5;3631
1596249855810;412;47;8;0;23.5;3631
1596250161569;420;47;9;0;23.5;3631
1596250454695;421;47;9;0;23.5;3631
1596250764537;410;47;10;0;23.5;3631
1596251056528;418;47;10;0;23.5;3631
1596251351141;415;47;11;0;23.5;3631
1596251656067;416;47;12;0;23.5;3631
1596251954431;420;47;13;0;23.5;3631
1596252257084;410;47;13;0;23.4;3631
1596252558872;415;47;14;0;23.5;3631
1596252855975;420;47;16;0;23.5;3631
1596253152109;419;47;17;0;23.5;3631
1596253455705;419;47;18;0;23.6;3631
1596253754027;412;47;19;0;23.5;3631
1596254054400;411;47;21;0;23.5;3631
1596254355642;418;47;22;0;23.5;3631
1596254658796;410;47;24;0;23.6;3631
1596254949351;415;47;25;0;23.5;3631
1596255253125;419;47;27;0;23.6;3631
1596255550069;421;47;29;0;23.6;3631
1596255856134;415;47;31;0;23.6;3631
1596256151550;416;47;33;0;23.6;3634
1596256453579;419;47;34;0;23.6;3631
1596256751365;420;47;36;0;23.6;3631
1596257057419;422;47;38;0;23.6;3631
1596257347269;418;47;41;0;23.6;3631
1596257657968;419;47;42;0;23.6;3631
1596257951930;414;47;42;0;23.7;3631
1596258252589;409;47;43;0;23.7;3631
1596258551222;418;47;43;0;23.6;3631
1596258856028;416;47;44;0;23.7;3634
1596259156088;413;47;45;0;23.7;3631
1596259452292;419;47;46;0;23.7;3631
1596259752181;417;47;46;0;23.8;3631
1596260058081;418;47;50;0;23.7;3631
1596260368201;416;47;52;0;23.8;3631
1596260658277;422;47;52;0;23.8;3631
1596260953786;417;47;54;0;23.8;3631
1596261248712;418;47;58;0;23.8;3631
1596261658677;409;47;62;0;23.8;3631
1596261905856;413;47;63;0;23.9;3631
1596262581432;413;47;64;0;23.9;3631
1596262818742;415;47;65;0;23.9;3634
