ts;humidity;light;motion;temperature;vdd
1593551030508;48;1;0;22.8;3530
1593551309703;48;1;0;22.9;3530
1593551924848;48;1;0;22.9;3530
1593552215157;49;1;0;22.9;3530
1593552278625;48;1;0;22.8;3530
1593552477031;48;1;0;22.9;3530
1593552763592;49;1;0;22.8;3530
1593553059235;49;1;0;22.9;3530
1593553358755;49;1;0;22.9;3530
1593553658397;49;1;0;22.8;3530
1593553958191;49;1;0;22.9;3530
1593554260604;49;1;0;22.9;3530
1593554559439;49;1;0;22.9;3530
1593554857816;49;1;0;22.9;3530
1593555158379;49;1;0;22.8;3533
1593555459167;49;1;0;22.8;3530
1593555759267;49;1;0;22.8;3530
1593556059283;49;1;0;22.8;3530
1593556360302;49;1;0;22.8;3530
1593556658573;49;1;0;22.8;3530
1593556958619;49;1;0;22.8;3530
1593557258453;49;1;0;22.8;3530
1593557559039;49;1;0;22.8;3530
1593557859367;49;1;0;22.8;3530
1593558158569;49;1;0;22.8;3530
1593558458581;49;1;0;22.8;3530
1593558759357;49;1;0;22.8;3530
1593559059619;49;1;0;22.8;3530
1593559357805;49;1;0;22.8;3530
1593559658741;49;1;0;22.8;3530
1593559958179;49;1;0;22.8;3530
1593560259151;49;1;0;22.8;3528
1593560558393;49;1;0;22.8;3530
1593560859200;49;1;0;22.7;3530
1593561162535;49;1;0;22.8;3530
1593561458760;49;1;0;22.7;3530
1593561759000;50;1;0;22.7;3530
1593562060382;50;1;0;22.7;3530
1593562358590;50;1;0;22.8;3530
1593562658606;50;1;0;22.8;3530
1593562958354;50;1;0;22.7;3530
1593563258171;50;1;0;22.7;3530
1593563557959;50;1;0;22.7;3530
1593563857971;50;1;0;22.7;3530
1593564157994;50;1;0;22.7;3530
1593564458183;50;1;0;22.8;3530
1593564759279;50;1;0;22.7;3530
1593565059175;50;1;0;22.7;3530
1593565372968;50;1;0;22.7;3530
1593565659869;50;1;0;22.7;3528
1593565958429;50;1;0;22.8;3530
1593566258059;50;1;0;22.8;3530
1593566558375;50;1;0;22.7;3530
1593566859250;50;1;0;22.7;3530
1593567158794;50;1;0;22.7;3530
1593567458104;51;1;0;22.7;3530
1593567758436;51;1;0;22.7;3530
1593568058648;51;2;0;22.7;3530
1593568359475;51;3;0;22.7;3528
1593568659543;51;5;0;22.7;3530
1593568960091;51;2;0;22.7;3528
1593569258267;51;3;0;22.7;3530
1593569557832;51;3;0;22.7;3530
1593569859039;51;7;0;22.7;3530
1593570157077;51;5;0;22.7;3528
1593570465490;51;8;0;22.7;3528
1593570759390;51;7;0;22.7;3530
1593571057836;51;9;0;22.7;3530
1593571357513;51;10;0;22.8;3528
1593571658757;51;14;0;22.7;3528
1593571962222;51;14;0;22.7;3528
1593572259231;51;18;0;22.7;3530
1593572559941;51;14;0;22.7;3530
1593572858040;51;12;0;22.7;3530
1593573157395;51;22;0;22.7;3530
1593573457671;51;10;0;22.7;3530
1593573757567;51;19;0;22.7;3530
1593574058567;51;14;0;22.7;3530
1593574358683;52;18;0;22.7;3530
