ts;externalTemperature;humidity;light;motion;temperature;vdd
1593550814647;20.9;48;0;3;22.9;3504
1593551115348;20.9;48;0;2;22.9;3504
1593551593497;20.9;48;0;3;22.9;3504
1593552145641;20.9;48;0;2;22.9;3504
1593552346246;20.8;48;0;2;22.8;3504
1593552613856;20.9;48;0;3;22.9;3504
1593552918333;21;48;0;2;22.9;3504
1593553209839;20.8;48;0;3;22.8;3504
1593553511147;20.8;48;0;2;22.8;3504
1593553811475;20.9;48;0;3;22.8;3504
1593554111149;20.9;48;0;2;22.9;3504
1593554412654;20.9;48;0;3;22.9;3504
1593554710527;20.9;48;0;2;22.8;3502
1593555012513;20.8;48;0;3;22.8;3504
1593555310212;20.8;48;0;2;22.8;3504
1593555611604;20.8;48;0;3;22.8;3504
1593555910334;20.8;48;0;2;22.8;3502
1593556211520;20.8;48;0;3;22.8;3504
1593556512124;20.8;48;0;2;22.8;3502
1593556810063;20.8;48;0;3;22.8;3504
1593557109487;20.8;48;0;2;22.8;3502
1593557409685;20.7;48;0;3;22.8;3504
1593557710460;20.7;48;0;2;22.8;3504
1593558009549;20.8;49;0;3;22.8;3504
1593558310043;20.8;49;0;2;22.8;3504
1593558612083;20.7;49;0;3;22.8;3504
1593558908960;20.8;49;0;2;22.8;3504
1593559211033;20.7;49;0;3;22.8;3504
1593559510119;20.7;49;0;2;22.8;3504
1593559812572;20.8;49;0;3;22.8;3504
1593560109527;20.7;49;0;2;22.7;3504
1593560411090;20.7;49;0;3;22.8;3502
1593560708871;20.6;49;0;2;22.7;3504
1593561013052;20.7;49;0;3;22.8;3502
1593561310732;20.6;49;0;2;22.7;3502
1593561611141;20.7;49;0;3;22.7;3504
1593561910583;20.8;49;0;2;22.8;3504
1593562209345;20.8;49;0;3;22.8;3502
1593562509802;20.8;49;0;2;22.7;3504
1593562810146;20.7;49;0;3;22.7;3502
1593563111204;20.7;49;0;2;22.7;3504
1593563412471;20.6;49;0;3;22.7;3502
1593563710400;20.7;49;0;2;22.8;3504
1593564011879;20.7;49;0;3;22.7;3504
1593564309260;20.8;50;0;2;22.7;3504
1593564611844;20.8;50;0;3;22.7;3502
1593564910009;20.7;50;0;2;22.7;3504
1593565212366;20.7;50;0;3;22.7;3504
1593565510445;20.6;50;0;2;22.7;3504
1593565810063;20.6;50;0;3;22.7;3502
1593566110836;20.7;50;0;2;22.7;3504
1593566409190;20.6;50;0;3;22.7;3504
1593566708612;20.6;50;0;2;22.7;3504
1593567010119;20.8;50;0;3;22.7;3504
1593567308703;20.8;50;0;2;22.7;3504
1593567609380;20.7;50;1;3;22.7;3504
1593567908841;20.6;50;1;2;22.7;3504
1593568211316;20.5;50;1;3;22.7;3502
1593568508853;20.7;50;1;2;22.7;3504
1593568809547;20.7;50;1;3;22.7;3504
1593569109664;20.7;50;1;2;22.7;3504
1593569410125;20.6;51;1;3;22.7;3502
1593569708712;20.6;51;2;2;22.7;3502
1593570009378;20.6;51;2;3;22.7;3502
1593570308444;20.6;51;2;2;22.6;3504
1593570609601;20.7;51;2;3;22.7;3504
1593570909771;20.6;51;3;2;22.7;3502
1593571209977;20.7;51;3;3;22.7;3504
1593571508593;20.7;51;10;2;22.6;3502
1593571810857;20.7;51;8;3;22.7;3502
1593572109232;20.7;51;7;2;22.7;3504
1593572409085;20.6;51;9;3;22.7;3504
1593572708186;20.8;51;11;2;22.7;3504
1593573009344;20.7;51;4;3;22.7;3504
1593573309646;20.7;51;10;2;22.7;3504
1593573610649;20.7;51;4;3;22.7;3502
1593573908797;20.6;51;8;2;22.7;3504
1593574212231;20.8;51;11;3;22.7;3504
1593574508859;20.9;51;11;2;22.7;3504
1593574811900;20.9;51;13;3;22.7;3504
1593575109265;20.7;51;11;2;22.7;3504
1593575409337;20.7;51;12;3;22.7;3502
1593575708335;20.7;51;11;2;22.7;3504
1593576008191;20.8;51;12;3;22.7;3502
1593576307601;20.6;52;12;2;22.7;3504
1593576609327;20.8;52;9;3;22.7;3504
1593576909058;20.9;52;13;2;22.7;3504
1593577208767;20.8;52;3;3;22.7;3502
1593577507606;20.8;52;14;2;22.7;3502
1593577811291;20.8;52;15;3;22.7;3504
1593578109437;20.8;52;15;2;22.8;3502
1593578409509;20.8;52;13;3;22.8;3502
1593578707793;20.8;52;18;2;22.7;3504
1593579008336;20.9;52;8;3;22.8;3504
1593579308190;20.9;52;16;2;22.7;3504
1593579610898;20.8;52;22;3;22.7;3504
1593579907335;20.9;52;25;2;22.7;3502
1593580210346;20.9;52;31;3;22.7;3502
1593580508332;20.8;52;28;2;22.8;3504
1593580807673;20.9;52;18;3;22.7;3502
1593581107977;20.7;52;13;2;22.8;3504
1593581408622;20.9;52;12;3;22.7;3504
1593581708102;20.8;52;10;2;22.8;3504
1593582008998;20.9;52;10;3;22.8;3504
1593582309329;20.8;52;9;2;22.8;3504
1593582608406;20.8;52;23;3;22.8;3504
1593582908159;21;52;22;2;22.8;3504
1593583208426;20.9;52;22;3;22.8;3504
1593583508332;20.8;52;24;2;22.8;3504
1593583807211;21;52;28;3;22.8;3504
1593584108909;20.9;52;16;2;22.8;3504
1593584407573;20.9;52;27;3;22.8;3504
1593584708382;20.9;52;29;2;22.8;3504
1593585007277;20.9;52;28;3;22.8;3504
1593585309261;21;52;28;2;22.8;3504
1593585608193;20.9;52;30;3;22.8;3504
1593585907987;21;52;33;2;22.8;3504
1593586207390;20.9;52;32;3;22.8;3504
1593586508449;21;52;34;2;22.9;3504
1593586811429;20.9;52;31;3;22.9;3504
1593587111106;21.1;52;32;2;22.9;3504
1593587407926;21;52;8;3;22.9;3504
1593587708932;21;52;6;2;22.9;3504
1593588008207;21;52;29;3;22.9;3504
1593588307145;21;52;28;2;22.9;3504
1593588607803;21.2;52;31;3;22.9;3504
1593588909164;21.1;52;31;2;22.9;3504
1593589207928;21.1;52;5;3;22.9;3504
1593589507571;21.1;52;31;2;23;3504
1593589807977;21.1;52;30;3;22.9;3504
1593590110315;21.2;52;34;2;22.9;3504
1593590408573;21.1;52;39;3;22.9;3504
1593590707428;21.1;52;28;2;23;3504
1593591009385;21.2;52;39;3;23;3504
1593591308212;21.2;52;28;2;22.9;3507
1593591908726;21.3;52;39;2;23;3504
1593592207932;21.2;52;47;3;23;3504
1593592509267;21.3;52;35;2;23;3504
1593592807454;21.5;52;44;3;23;3504
1593593107674;21.3;52;41;2;23;3504
1593593408474;21.4;52;47;3;23;3504
1593593707611;21.4;52;56;2;23.1;3504
1593594007372;21.3;52;28;3;23.1;3504
1593594309110;21.3;52;20;2;23.1;3507
1593594608588;21.3;52;50;3;23;3504
1593594907362;21.4;52;16;2;23.1;3504
1593595207332;21.5;52;52;3;23.1;3507
1593595508545;21.4;52;52;2;23;3507
1593595809800;21.5;52;16;3;23.1;3507
1593596108166;21.5;52;17;2;23.1;3504
1593596407864;21.4;52;49;3;23.1;3507
1593596707825;21.5;52;23;2;23.1;3504
1593597007897;21.5;52;54;3;23.1;3504
1593597306739;21.5;52;55;2;23.1;3504
1593597606790;21.4;52;12;3;23.1;3507
1593597907602;21.5;52;44;2;23.2;3507
1593598211774;21.5;52;20;3;23.2;3507
1593598507356;21.5;52;52;2;23.1;3504
1593598807710;21.5;52;42;3;23.2;3504
1593599107043;21.5;52;23;2;23.2;3507
1593599407043;21.5;52;28;3;23.2;3507
1593599708211;21.5;52;51;2;23.2;3504
1593600006314;21.7;52;30;3;23.2;3507
1593600307425;21.7;52;56;2;23.2;3504
1593600607564;21.6;51;49;3;23.2;3504
1593600907196;21.8;51;49;2;23.2;3504
1593601209433;21.7;51;43;3;23.3;3507
1593601527363;21.7;51;36;2;23.3;3507
1593601807053;21.7;51;40;3;23.2;3507
1593602107700;21.8;51;53;2;23.3;3504
1593602407740;21.8;51;55;3;23.2;3507
1593602708025;22;51;56;2;23.3;3504
1593603009174;21.9;51;58;3;23.3;3504
1593603308759;22.1;51;58;2;23.2;3507
1593603608792;22;51;20;3;23.3;3507
1593603909058;21.9;51;26;2;23.3;3507
1593604209922;22.1;51;48;3;23.3;3507
1593604517870;21.9;51;33;2;23.3;3507
1593604809693;22;51;37;3;23.3;3504
1593605107390;22;51;33;2;23.3;3507
1593605408264;22;51;30;3;23.4;3504
1593605706028;21.9;52;27;2;23.3;3507
1593606005989;22.1;51;49;3;23.3;3507
1593606310343;21.8;51;23;2;23.3;3507
1593606606346;21.9;51;17;3;23.4;3507
1593606907051;21.8;51;18;2;23.4;3507
1593607207113;21.8;51;13;3;23.4;3507
1593607506608;21.7;51;34;2;23.4;3507
1593607807990;21.9;51;16;3;23.4;3504
1593608106524;21.7;51;23;2;23.3;3507
1593608409037;21.8;51;36;3;23.4;3507
1593608707205;21.8;51;28;2;23.3;3509
1593609008689;21.7;51;35;3;23.4;3507
1593609306555;21.9;51;61;2;23.4;3507
1593609607429;21.9;51;21;3;23.3;3504
1593609905989;21.8;51;19;2;23.3;3509
1593610209089;21.8;51;8;3;23.3;3509
1593610507043;21.9;51;7;2;23.4;3507
1593610808751;21.7;51;4;3;23.4;3504
1593611105803;21.6;51;3;2;23.3;3507
1593611405833;21.6;51;2;3;23.3;3509
1593611706332;21.7;51;1;2;23.3;3509
1593612006345;21.4;51;1;3;23.3;3507
1593612306165;21.7;51;1;2;23.4;3507
1593612609527;21.4;51;2;3;23.3;3509
1593612908241;21.3;51;7;2;23.3;3507
1593613207001;21.4;51;13;3;23.3;3504
1593613505703;21.3;51;11;2;23.3;3507
1593613807741;21.2;51;9;3;23.3;3507
1593614107746;21.3;51;11;2;23.3;3507
1593614406044;21.3;52;13;3;23.2;3509
1593614705636;21.2;52;19;2;23.2;3507
1593615010465;21.2;52;22;3;23.2;3509
1593615306254;21.2;52;48;2;23.3;3509
1593615606772;21.3;52;217;3;23.2;3504
1593615906243;21.4;52;175;2;23.3;3507
1593616206766;21.3;52;54;3;23.3;3509
1593616506881;21.3;52;8;2;23.2;3507
1593616805988;21.3;52;94;3;23.2;3507
1593617105335;21.3;52;190;2;23.3;3507
1593617406964;21.3;52;422;3;23.3;3507
1593617706296;21.3;52;190;2;23.3;3504
1593618007437;21.2;52;25;3;23.3;3507
1593618306211;21.3;52;33;2;23.3;3504
1593618608407;21.2;52;46;3;23.3;3504
1593618906173;21.3;52;41;2;23.2;3507
1593619207045;21.4;52;26;3;23.3;3507
1593619505987;21.3;52;14;2;23.2;3507
1593619809474;21.3;52;20;3;23.3;3507
1593620104989;21.3;52;6;2;23.3;3507
1593620409272;21.3;52;4;3;23.2;3507
1593620709919;21.2;53;3;2;23.2;3509
1593621006080;21.3;53;4;3;23.2;3509
1593621304835;21.2;53;5;2;23.2;3507
1593621604990;21.2;53;3;3;23.2;3509
1593621907450;21.3;53;4;2;23.2;3504
1593622206043;21.1;53;4;3;23.2;3507
1593622508066;21.2;53;4;2;23.2;3507
1593622808774;21.1;53;3;3;23.2;3507
1593623107746;21.2;53;2;2;23.2;3507
1593623405931;21.1;53;1;3;23.2;3507
1593623708919;21;53;1;2;23.2;3507
1593624006958;21.2;54;1;3;23.2;3507
1593624306856;21.1;54;1;2;23.1;3504
1593624605950;21.1;54;1;3;23.2;3507
1593624905128;21.1;54;1;2;23.1;3507
1593625205433;21.1;54;1;3;23.1;3507
1593625507215;21.1;54;1;2;23.1;3504
1593625808675;21.1;54;0;3;23.1;3507
1593626106290;21;54;1;2;23.1;3507
1593626406236;21.1;54;0;3;23.1;3507
1593626707089;21;54;0;2;23.1;3507
1593627006344;21.1;54;0;3;23;3507
1593627307606;21;54;0;2;23.1;3504
1593627607606;21;54;0;3;23.1;3507
1593627907334;21.1;54;0;2;23.1;3504
1593628206864;21;54;0;3;23;3507
1593628509138;21;54;0;2;23.1;3507
1593628805872;21;54;0;3;23;3504
1593629106339;20.9;54;0;2;23.1;3504
1593629407248;21;54;0;3;23;3504
1593629704789;21;54;0;2;23;3504
1593630010568;21;54;0;3;23;3504
1593630305068;21.1;54;0;2;23;3507
1593630609266;21;54;0;3;23;3507
1593630905429;20.9;55;0;2;23;3504
1593631207799;21;55;0;3;23;3504
1593631505626;20.9;55;0;2;23;3504
1593631805941;20.9;54;0;3;23;3509
1593632104854;20.9;55;0;2;23;3504
1593632405824;21.1;55;0;3;23;3504
1593632704267;21.1;55;0;2;22.9;3507
1593633005376;21;55;0;3;23;3504
1593633304074;21;55;0;2;23;3507
1593633607281;20.9;55;0;3;23;3507
1593633905080;21;55;0;2;22.9;3504
1593634207114;20.9;55;0;3;23;3507
1593634504746;21;55;0;2;22.9;3504
1593634808276;20.9;55;0;3;22.9;3504
1593635104990;20.9;55;0;2;23;3504
1593635411952;20.9;55;0;3;23;3504
1593635705269;21;55;0;2;23;3504
1593636004666;21.1;55;0;3;23;3504
1593636305234;20.8;55;0;2;22.9;3504
1593636604600;20.9;55;0;3;23;3504
1593636908436;20.9;55;0;2;22.9;3507
1593637205520;20.8;55;0;3;22.9;3504
1593637504009;20.8;55;0;2;22.9;3504
1593637804225;20.8;55;0;3;22.9;3504
1593638103477;20.9;55;0;2;22.9;3507
1593638403834;20.8;55;0;3;22.9;3504
1593638703566;20.8;55;0;2;22.9;3504
1593639008729;20.8;55;0;3;22.9;3504
1593639307170;20.7;55;0;2;22.9;3504
1593639607759;20.8;55;0;3;22.9;3504
1593639903275;20.7;55;0;2;22.8;3504
1593640203774;20.9;55;0;3;22.8;3504
1593640503034;20.9;55;0;2;22.9;3507
1593640810458;20.7;55;0;3;22.8;3504
1593641104565;20.9;55;0;2;22.9;3504
1593641406132;20.7;55;0;3;22.9;3504
1593641707016;20.9;55;0;2;22.8;3504
1593642007367;20.7;55;0;3;22.9;3504
1593642305763;20.8;55;0;2;22.8;3504
1593642607835;20.7;55;0;3;22.9;3504
1593642904586;20.8;55;0;2;22.8;3504
1593643207011;20.6;55;0;3;22.8;3504
1593643504923;20.7;55;0;2;22.8;3504
1593643806522;20.7;55;0;3;22.8;3504
1593644104775;20.7;55;0;2;22.8;3504
1593644406638;20.6;55;0;3;22.7;3504
1593644707036;20.7;55;0;2;22.8;3504
1593645008746;20.7;55;0;3;22.8;3504
1593645307606;20.7;55;0;2;22.7;3504
1593645604190;20.7;55;0;3;22.7;3504
1593645907130;20.6;55;0;2;22.7;3504
1593646204924;20.8;55;0;3;22.7;3504
1593646507635;20.6;55;0;2;22.7;3507
1593646804811;20.8;55;0;3;22.7;3504
1593647103564;20.7;55;0;2;22.7;3504
1593647403548;20.6;55;0;3;22.8;3504
1593647703524;20.7;55;0;2;22.8;3504
1593648005854;20.7;54;0;3;22.7;3504
1593648304373;20.8;54;0;2;22.7;3504
1593648607058;20.7;55;0;3;22.7;3504
1593648903188;20.8;54;0;2;22.7;3504
1593649204003;20.7;55;0;3;22.7;3504
