ts;co2;humidity;light;motion;temperature;vdd
1594141855831;525;54;109;8;26.2;3645
1594142152425;532;55;3;2;26;3647
1594142453261;507;55;3;0;26;3650
1594142752939;519;55;3;0;26.1;3650
1594143052942;512;55;3;0;26.1;3650
1594143352958;509;55;2;0;26.1;3653
1594143652314;504;55;2;0;26.1;3653
1594143952812;504;55;1;0;26.1;3653
1594144253207;504;55;1;0;26.1;3653
1594144552138;491;55;1;0;26.1;3653
1594144852420;486;55;1;0;26.1;3653
1594145152545;485;55;1;0;26.1;3655
1594145452660;482;55;1;0;26.1;3655
1594145752167;479;55;1;0;26.1;3653
1594146052369;474;55;1;0;26.1;3655
1594146354985;468;55;1;0;26.1;3655
1594146653341;472;55;1;0;26.1;3655
1594146952477;472;55;1;0;26;3655
1594147252606;463;56;1;0;26;3655
1594147552742;476;56;1;0;26.1;3653
1594147850664;459;56;1;0;26.1;3658
1594148151369;456;56;1;0;26.1;3658
1594148454505;448;56;1;0;26.1;3655
1594148754000;462;56;1;0;26.1;3655
1594149052977;459;56;1;0;26.1;3658
1594149351196;450;56;1;0;26.1;3658
1594149653057;455;56;1;0;26;3658
1594149951101;445;56;1;0;26.1;3655
1594150252790;451;56;1;0;26;3658
1594150550398;428;56;1;0;26;3658
1594150851133;429;55;1;0;26;3655
1594151150661;431;55;1;0;25.9;3658
1594151454939;429;55;1;0;26;3658
1594151753470;429;55;1;0;26;3658
1594152053232;425;56;1;0;26;3655
1594152350618;414;56;1;0;26;3655
1594152651927;418;55;1;0;26.1;3655
1594152951856;413;55;1;0;26;3655
1594153251710;413;56;1;0;26;3658
1594153551245;410;56;1;0;26;3658
1594153851984;407;56;1;0;26;3658
1594154155333;411;56;1;0;26;3655
1594154452674;413;56;1;0;25.9;3658
1594154754460;412;56;1;0;26;3655
1594155052225;396;56;1;0;26;3658
1594155354179;408;56;1;0;25.9;3655
1594155652252;400;56;1;0;26;3658
1594155951463;402;56;1;0;26;3655
1594156253303;405;56;1;0;26;3655
1594156555188;408;56;1;0;25.9;3658
1594156851719;402;56;1;0;25.9;3655
1594157153178;400;56;1;0;25.9;3655
1594157452610;397;56;1;0;25.9;3658
1594157753877;393;56;1;0;25.9;3655
1594158053206;400;56;1;0;25.9;3653
1594158354009;405;56;1;0;25.9;3658
1594158652908;393;56;1;0;25.9;3653
1594158954536;402;56;1;0;25.9;3655
1594159251226;390;56;1;0;25.9;3658
1594159554833;390;56;1;0;25.9;3655
1594159851359;389;56;1;0;25.9;3655
1594160152583;397;56;1;0;25.8;3655
1594160455195;398;56;1;0;25.9;3658
1594160752190;386;56;1;0;25.9;3655
1594161051154;385;56;1;0;25.9;3655
1594161352216;398;56;1;0;25.9;3655
1594161651399;379;56;1;0;25.9;3655
1594161953869;380;56;1;0;25.9;3655
1594162252145;390;56;1;0;25.9;3655
1594162553039;388;56;1;0;25.8;3653
1594162854014;388;56;1;0;25.9;3655
1594163150854;384;56;1;0;25.8;3655
1594163450450;384;56;1;0;25.8;3655
1594163751266;388;56;1;0;25.9;3655
