ts;co2;humidity;light;motion;temperature;vdd
1593551065175;408;50;1;0;22.8;3639
1593551366014;409;50;1;0;22.7;3639
1593552224870;409;50;1;0;22.7;3639
1593552312407;410;50;1;0;22.7;3639
1593552527746;409;50;1;0;22.7;3639
1593552822931;403;50;1;0;22.7;3639
1593553116243;397;50;0;0;22.7;3639
1593553415891;403;50;1;0;22.7;3639
1593553715595;412;50;1;0;22.7;3639
1593554016435;409;50;1;0;22.7;3639
1593554317631;400;50;1;0;22.7;3639
1593554616011;403;50;1;0;22.7;3639
1593554915459;405;50;1;0;22.7;3639
1593555215455;396;50;0;0;22.7;3639
1593555515392;407;50;1;0;22.7;3639
1593555816593;406;50;1;0;22.7;3639
1593556117391;402;50;1;0;22.6;3639
1593556416567;403;50;0;0;22.6;3639
1593556714959;398;50;1;0;22.7;3639
1593557015379;404;50;1;0;22.6;3639
1593557315471;397;50;1;0;22.6;3639
1593557616688;408;50;1;0;22.6;3639
1593557915831;400;51;1;0;22.6;3639
1593558215187;405;51;0;0;22.7;3639
1593558515207;410;51;0;0;22.6;3639
1593558815315;403;51;1;0;22.6;3639
1593559116911;400;51;1;0;22.6;3639
1593559415924;393;51;0;0;22.6;3639
1593559714995;397;51;1;0;22.6;3639
1593560014639;407;51;0;0;22.5;3639
1593560314867;406;51;1;0;22.6;3639
1593560616671;407;51;0;0;22.5;3639
1593560917014;396;51;1;0;22.5;3639
1593561216419;401;51;1;0;22.6;3639
1593561516071;398;51;0;0;22.5;3639
1593561816801;399;51;1;0;22.5;3639
1593562115047;400;51;0;0;22.6;3636
1593562424260;412;51;1;0;22.5;3639
1593562716243;402;51;1;0;22.5;3639
1593563015891;405;51;1;0;22.6;3639
1593563318555;404;51;0;0;22.6;3639
1593563616315;407;51;1;0;22.5;3639
1593563915975;400;51;1;0;22.5;3639
1593564214859;413;51;1;0;22.5;3639
1593564516075;399;51;1;0;22.5;3639
1593564814303;409;51;1;0;22.5;3639
1593565116431;403;51;1;0;22.6;3639
1593565415425;408;51;1;0;22.5;3639
1593565715709;404;51;1;0;22.5;3639
1593566014675;403;51;1;0;22.5;3639
1593566315053;400;52;1;0;22.5;3639
1593566613859;406;52;1;0;22.5;3639
1593566916585;410;52;1;0;22.5;3639
1593567215903;400;52;1;0;22.5;3639
1593567515303;407;52;1;0;22.5;3636
1593567815203;402;52;1;0;22.5;3639
1593568117115;407;52;1;0;22.4;3639
1593568415707;413;52;1;0;22.5;3639
1593568716153;406;52;2;0;22.5;3639
1593569015847;401;52;1;0;22.5;3639
1593569315395;409;52;2;0;22.4;3639
1593569615679;402;52;2;0;22.5;3639
1593569916672;406;52;3;0;22.5;3639
1593570215007;402;52;2;0;22.5;3639
1593570514103;409;52;3;0;22.5;3639
1593570815180;401;52;3;0;22.5;3639
1593571115294;406;52;3;0;22.5;3639
1593571415427;398;52;3;0;22.5;3639
1593571718074;403;52;5;0;22.4;3639
1593572015791;409;52;5;0;22.5;3639
1593572316316;400;52;11;0;22.4;3639
1593572614119;419;52;10;0;22.5;3639
1593572915179;409;52;6;0;22.4;3639
1593573215151;410;52;8;0;22.4;3639
1593573514587;404;52;5;0;22.4;3639
1593573813792;408;52;10;0;22.4;3639
1593574115175;411;52;10;0;22.4;3636
1593574415587;407;52;13;0;22.4;3636
1593574714599;414;52;15;0;22.5;3636
1593575015381;411;52;14;0;22.5;3636
1593575315287;405;52;15;0;22.5;3636
1593575614467;414;52;13;0;22.4;3639
1593575913883;411;52;14;0;22.4;3639
1593576213843;422;52;7;0;22.5;3636
1593576516205;412;53;14;0;22.5;3639
1593576814875;414;53;10;0;22.5;3639
1593577116018;410;53;16;0;22.5;3639
1593577413915;402;53;13;0;22.4;3636
1593577713595;412;53;8;0;22.5;3639
1593578014008;416;53;20;0;22.5;3639
1593578315423;413;53;22;0;22.5;3639
1593578616087;409;53;21;0;22.5;3639
1593578915311;407;53;18;0;22.5;3639
1593579215831;411;53;10;0;22.5;3639
1593579513791;409;53;29;0;22.5;3639
1593579815067;409;53;32;0;22.5;3636
1593580114115;412;53;28;0;22.5;3639
1593580417148;418;53;36;0;22.6;3639
1593580714715;420;53;32;0;22.5;3636
1593581014343;409;53;13;0;22.5;3639
1593581314287;417;53;15;0;22.5;3636
1593581615078;412;53;34;0;22.5;3639
1593581914631;417;53;9;0;22.5;3639
1593582214842;408;53;10;0;22.5;3639
1593582515561;410;53;30;0;22.5;3636
1593582816637;407;53;28;0;22.5;3639
1593583114328;407;53;26;0;22.5;3639
1593583414754;409;53;26;0;22.5;3639
1593583715434;414;53;28;0;22.5;3636
1593584014668;414;53;29;0;22.6;3639
1593584313715;412;53;31;0;22.6;3639
1593584615552;402;53;31;0;22.6;3639
1593584914360;414;53;30;0;22.6;3636
1593585214675;411;53;28;0;22.6;3639
1593585514603;410;53;33;0;22.6;3636
1593585813576;414;53;30;0;22.6;3639
1593586112835;409;53;9;0;22.6;3639
1593586414591;406;53;7;0;22.6;3639
1593586715247;412;53;27;0;22.6;3636
1593587015045;407;53;32;0;22.6;3639
1593587314635;415;53;31;0;22.6;3636
1593587613807;408;53;30;0;22.7;3636
1593587913627;410;53;32;0;22.6;3636
1593588213879;406;53;32;0;22.6;3639
1593588514166;419;53;36;0;22.7;3639
1593588813239;409;53;32;0;22.7;3636
1593589115399;415;53;26;0;22.7;3639
1593589414147;418;53;37;0;22.7;3639
1593589713670;412;53;43;0;22.6;3636
1593590013783;406;53;39;0;22.7;3636
1593590315608;416;53;44;0;22.7;3639
1593590614623;409;53;45;0;22.7;3636
1593590914371;411;53;53;0;22.7;3639
1593591213187;413;53;25;0;22.7;3639
1593591513371;410;53;29;0;22.7;3639
1593591812763;413;53;51;0;22.7;3636
1593592114850;417;53;41;0;22.8;3636
1593592414347;405;53;23;0;22.8;3636
1593592713223;404;53;20;0;22.8;3636
1593593012399;418;53;55;0;22.8;3636
1593593313943;417;53;53;0;22.8;3636
1593593614771;416;53;56;0;22.8;3639
1593593913831;421;53;25;0;22.8;3636
1593594214031;421;53;26;0;22.8;3636
1593594513859;410;53;25;0;22.8;3636
1593594815835;414;53;16;0;22.8;3639
1593595113023;407;53;61;0;22.8;3636
1593595414467;414;53;50;0;22.8;3636
1593595714047;417;53;15;0;22.9;3636
1593596013875;414;53;58;0;22.9;3636
1593596312671;412;53;53;0;22.8;3636
1593596613831;413;53;18;0;22.9;3639
1593596913483;410;53;15;0;22.9;3636
1593597214404;406;53;31;0;22.9;3639
1593597513832;407;53;21;0;22.8;3636
1593597813247;416;53;11;0;22.9;3636
1593598112383;414;53;48;0;22.9;3636
1593598414444;405;53;46;0;22.9;3639
1593598713859;407;53;37;0;22.9;3636
1593599013267;410;53;27;0;22.9;3636
1593599313803;414;53;29;0;22.9;3639
1593599612871;409;53;54;0;22.9;3636
1593599913551;414;53;26;0;23;3636
1593600213803;409;53;58;0;22.9;3636
1593600515831;417;53;64;0;22.9;3636
1593600813555;412;53;58;0;22.9;3636
1593601113859;418;53;48;0;23;3636
1593601412499;413;53;40;0;23;3636
1593601712767;412;53;47;0;23;3639
1593602014027;413;53;58;0;23;3636
1593602314607;413;53;53;0;23.1;3639
1593602612875;416;53;56;0;23;3636
1593602914031;408;53;56;0;23;3639
1593603214551;413;53;59;0;23.1;3636
1593603513483;411;53;40;0;23.1;3639
1593603812943;412;53;72;0;23.1;3636
1593604113427;409;53;65;0;23.1;3639
1593604412631;408;53;43;0;23.1;3639
1593604714831;415;53;41;0;23.1;3636
1593605012763;411;53;44;0;23.2;3636
1593605314035;415;53;31;0;23.1;3639
1593605613615;409;53;32;0;23.1;3636
1593605915275;412;53;37;0;23.2;3636
1593606212991;414;53;32;0;23.1;3639
1593606514619;416;53;22;0;23.2;3639
1593606813343;414;53;20;0;23.2;3636
1593607112879;421;53;15;0;23.2;3636
1593607413163;417;53;46;0;23.2;3636
1593607714955;419;53;81;0;23.2;3639
1593608014170;410;53;20;0;23.1;3636
1593608313650;420;53;34;0;23.2;3636
1593608612831;418;53;28;0;23.2;3636
1593608914088;420;53;59;0;23.2;3636
1593609212359;411;53;68;0;23.2;3636
1593609514398;411;53;34;0;23.2;3639
1593609813191;415;53;22;0;23.2;3636
1593610114731;406;53;10;0;23.2;3636
1593610412951;417;53;9;0;23.2;3636
1593610712320;416;53;6;0;23.2;3636
1593611013643;421;53;3;0;23.2;3639
1593611315025;409;53;2;0;23.2;3636
1593611613431;418;53;1;0;23.2;3636
1593611912999;415;53;2;0;23.2;3639
1593612211714;419;53;2;0;23.2;3636
1593612512636;423;53;2;0;23.2;3636
1593612812899;416;53;6;0;23.2;3636
1593613113159;419;53;13;0;23.1;3633
1593613412691;412;53;13;0;23.1;3639
1593613711359;414;53;10;0;23.1;3636
1593614311903;411;53;11;0;23.1;3636
1593614612403;418;53;15;0;23.1;3636
1593614912631;415;53;18;0;23.1;3636
1593615213571;414;53;24;0;23.1;3636
1593615512775;420;53;144;0;23.1;3636
1593615814631;425;53;127;0;23.1;3636
1593616111879;413;53;150;0;23;3639
1593616414568;409;53;6;0;23.1;3639
1593616712595;411;53;101;0;23.1;3636
1593617014251;408;53;85;0;23.2;3639
1593617313673;412;53;72;0;23.1;3639
1593617613317;406;53;49;0;23.1;3636
1593617914731;418;53;37;0;23.1;3633
1593618212911;416;53;34;0;23.1;3639
1593618512507;416;54;39;0;23.1;3636
1593618815751;406;54;63;0;23.1;3633
1593619111711;406;54;59;0;23.1;3636
1593619413659;419;54;43;0;23.1;3639
1593619712260;418;54;37;0;23.1;3636
1593620012231;418;54;6;0;23.2;3636
1593620313076;416;54;4;0;23.1;3636
1593620613467;406;54;3;0;23.1;3636
1593620912823;421;54;4;0;23.1;3636
1593621213778;416;53;4;0;23.1;3636
1593621511631;406;54;4;0;23;3636
1593621815585;410;54;3;0;23;3639
1593622112355;412;54;4;0;23;3639
1593622410995;418;54;4;0;23;3636
1593622713031;415;54;3;0;23;3636
1593623015005;413;54;2;0;23;3636
1593623318631;416;54;2;0;23;3636
1593623614522;411;54;2;0;23.1;3639
1593623912403;420;54;2;0;23;3636
1593624214237;410;54;2;0;23;3636
1593624513159;409;54;1;0;23;3636
1593624813007;416;54;1;0;23;3636
1593625112511;409;54;1;0;22.9;3633
1593625413618;414;54;1;0;23;3636
1593625713503;402;55;1;0;22.9;3636
1593626011519;413;55;1;0;22.9;3636
1593626312918;415;55;1;0;22.9;3636
1593626612119;412;55;1;0;22.9;3636
1593626910967;419;55;1;0;22.9;3636
1593627211903;410;55;1;0;22.9;3636
1593627512871;410;55;1;0;22.9;3636
1593627813199;411;55;0;0;22.9;3639
1593628114328;418;55;1;0;22.9;3636
