ts;humidity;light;motion;temperature;vdd;;
1.58828E+12;22;1;0;20.9;3533;;30.04.2020
1.58828E+12;22;1;0;21;3533;;30.04.2020
1.58828E+12;22;1;0;20.9;3535;;30.04.2020
1.58828E+12;22;1;0;20.9;3535;;30.04.2020
1.58828E+12;22;1;0;20.9;3535;;30.04.2020
1.58828E+12;22;1;0;20.9;3535;;30.04.2020
1.58828E+12;23;1;0;20.9;3535;;30.04.2020
1.58828E+12;22;1;0;20.9;3535;;30.04.2020
1.58828E+12;23;1;0;20.9;3535;;30.04.2020
1.58828E+12;23;1;0;20.9;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.9;3533;;30.04.2020
1.58829E+12;23;1;0;20.9;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;0;0;20.8;3535;;30.04.2020
1.58829E+12;23;1;0;20.8;3533;;30.04.2020
1.58829E+12;23;1;0;20.7;3530;;30.04.2020
1.58829E+12;23;1;0;20.8;3535;;01.05.2020
1.58829E+12;23;1;0;20.8;3535;;01.05.2020
1.58829E+12;23;1;0;20.7;3533;;01.05.2020
1.58829E+12;23;1;0;20.8;3533;;01.05.2020
1.58829E+12;23;1;0;20.7;3533;;01.05.2020
1.58829E+12;23;1;0;20.7;3535;;01.05.2020
1.58829E+12;23;0;0;20.7;3535;;01.05.2020
1.58829E+12;23;1;0;20.7;3533;;01.05.2020
1.58829E+12;23;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;1;0;20.7;3535;;01.05.2020
1.5883E+12;24;1;0;20.7;3535;;01.05.2020
1.5883E+12;24;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;1;0;20.7;3533;;01.05.2020
1.5883E+12;24;2;0;20.7;3535;;01.05.2020
1.5883E+12;24;2;0;20.7;3530;;01.05.2020
1.5883E+12;24;2;0;20.7;3535;;01.05.2020
1.5883E+12;24;3;0;20.7;3535;;01.05.2020
1.5883E+12;24;5;0;20.7;3533;;01.05.2020
1.5883E+12;24;7;0;20.6;3533;;01.05.2020
1.5883E+12;24;10;0;20.6;3533;;01.05.2020
1.5883E+12;24;13;0;20.7;3533;;01.05.2020
1.5883E+12;24;24;0;20.6;3533;;01.05.2020
1.5883E+12;24;18;0;20.6;3535;;01.05.2020
1.5883E+12;25;24;0;20.6;3533;;01.05.2020
1.5883E+12;25;26;0;20.6;3535;;01.05.2020
1.5883E+12;25;24;0;20.7;3530;;01.05.2020
1.5883E+12;25;25;0;20.6;3533;;01.05.2020
1.5883E+12;25;33;0;20.6;3533;;01.05.2020
1.5883E+12;25;37;0;20.6;3533;;01.05.2020
1.5883E+12;25;50;0;20.6;3533;;01.05.2020
1.58831E+12;25;40;0;20.6;3535;;01.05.2020
1.58831E+12;25;43;0;20.7;3535;;01.05.2020
1.58831E+12;25;62;0;20.6;3533;;01.05.2020
1.58831E+12;25;51;0;20.7;3535;;01.05.2020
1.58831E+12;25;49;0;20.7;3530;;01.05.2020
1.58831E+12;25;77;0;20.7;3530;;01.05.2020
1.58831E+12;25;101;0;20.7;3533;;01.05.2020
1.58831E+12;25;92;0;20.7;3533;;01.05.2020
1.58831E+12;25;127;0;20.7;3533;;01.05.2020
