ts;externalTemperature;humidity;light;motion;temperature;vdd;;
1.58828E+12;19.9;22;0;3;20.4;3485;;30.04.2020
1.58828E+12;19.9;22;0;2;20.4;3485;;30.04.2020
1.58828E+12;19.8;22;0;3;20.5;3485;;30.04.2020
1.58828E+12;19.9;22;0;2;20.4;3485;;30.04.2020
1.58829E+12;19.7;22;0;3;20.4;3485;;30.04.2020
1.58829E+12;19.7;22;0;2;20.4;3485;;30.04.2020
1.58829E+12;19.8;22;0;2;20.4;3487;;30.04.2020
1.58829E+12;19.7;22;0;3;20.4;3485;;30.04.2020
1.58829E+12;19.8;23;0;3;20.4;3485;;30.04.2020
1.58829E+12;19.7;22;0;2;20.4;3485;;30.04.2020
1.58829E+12;19.7;23;0;3;20.3;3487;;30.04.2020
1.58829E+12;19.5;23;0;2;20.4;3487;;30.04.2020
1.58829E+12;19.6;23;0;3;20.4;3487;;30.04.2020
1.58829E+12;19.7;23;0;2;20.3;3487;;30.04.2020
1.58829E+12;19.6;23;0;3;20.3;3487;;30.04.2020
1.58829E+12;19.5;23;0;2;20.3;3485;;30.04.2020
1.58829E+12;19.5;23;0;2;20.3;3485;;01.05.2020
1.58829E+12;19.4;23;0;2;20.3;3485;;01.05.2020
1.58829E+12;19.4;24;0;3;20.3;3485;;01.05.2020
1.58829E+12;19.4;24;0;2;20.3;3485;;01.05.2020
1.5883E+12;19.4;24;0;2;20.3;3485;;01.05.2020
1.5883E+12;19.2;24;0;3;20.2;3485;;01.05.2020
1.5883E+12;19.3;24;1;2;20.2;3485;;01.05.2020
1.5883E+12;19.2;24;3;3;20.2;3482;;01.05.2020
1.5883E+12;19.3;25;5;3;20.2;3485;;01.05.2020
1.5883E+12;19.3;25;7;2;20.2;3485;;01.05.2020
1.5883E+12;19.4;25;15;2;20.2;3485;;01.05.2020
1.5883E+12;19.5;25;17;3;20.2;3485;;01.05.2020
1.5883E+12;19.4;25;21;3;20.2;3485;;01.05.2020
1.5883E+12;19.4;25;30;3;20.2;3485;;01.05.2020
1.5883E+12;19.5;25;33;2;20.2;3485;;01.05.2020
1.5883E+12;19.5;25;43;2;20.2;3485;;01.05.2020
1.58831E+12;19.6;25;71;3;20.2;3482;;01.05.2020
1.58831E+12;19.7;25;45;3;20.2;3485;;01.05.2020
1.58831E+12;19.8;25;41;2;20.2;3485;;01.05.2020
1.58831E+12;19.5;25;54;3;20.2;3485;;01.05.2020
1.58831E+12;19.6;25;49;2;20.2;3485;;01.05.2020
1.58831E+12;19.7;25;45;3;20.2;3485;;01.05.2020
1.58831E+12;19.7;25;103;2;20.3;3485;;01.05.2020
1.58831E+12;19.9;25;67;3;20.3;3485;;01.05.2020
1.58831E+12;19.9;25;68;3;20.2;3485;;01.05.2020
1.58831E+12;19.8;25;109;2;20.3;3485;;01.05.2020
1.58831E+12;20.2;25;124;2;20.3;3485;;01.05.2020
1.58831E+12;20.1;25;65;2;20.4;3485;;01.05.2020
1.58831E+12;20;25;47;3;20.4;3485;;01.05.2020
