ts;co2;humidity;light;motion;temperature;vdd
1588280825755;409;28;1;0;18;3629
1588281125735;415;28;1;0;18;3629
1588281725692;412;28;1;0;18;3626
1588283525640;410;28;1;0;18;3629
1588284125572;415;28;1;0;18;3629
1588285625514;412;28;1;0;18;3629
1588285925500;408;28;1;0;18;3629
1588286525440;421;28;1;0;18;3629
1588287425399;414;28;1;0;18;3629
1588288025386;410;28;1;0;18;3629
1588288325372;418;28;1;0;18;3626
1588288925321;418;28;1;0;18;3626
1588290425262;411;28;1;0;18;3631
1588290725257;413;28;1;0;18.1;3629
1588291325229;420;28;1;0;18;3629
1588292225160;409;28;1;0;18;3629
1588292825136;417;28;1;0;18;3629
1588293125144;413;28;1;0;18;3629
1588293425122;412;28;1;0;18;3629
1588293725100;410;28;1;0;18;3626
1588295225006;416;28;1;0;18;3626
1588295825001;409;28;1;0;18;3629
1588296124984;407;28;1;0;18;3629
1588297024934;421;28;1;0;18;3631
1588297624887;415;28;1;0;18.1;3629
1588297924877;419;28;1;0;18;3629
1588298524852;412;28;1;0;18;3629
1588300024762;412;28;1;0;18.1;3629
1588300324747;403;28;1;0;18.1;3629
1588300924727;411;28;1;0;18;3629
1588302424635;415;28;1;0;18;3629
1588302724634;408;28;1;0;18;3629
1588303024614;409;28;1;0;18;3629
1588303324611;409;28;1;0;18;3626
1588304224559;407;28;1;0;18;3629
1588304824513;409;28;1;0;18;3629
1588305124504;409;28;1;0;18.1;3631
1588305424490;420;29;1;0;18.1;3629
1588305724483;416;28;1;0;18;3631
1588306624452;418;29;1;0;18;3629
1588307224386;422;29;1;0;18;3631
1588309024318;412;29;1;0;18;3626
1588309324304;414;29;1;0;18;3629
1588309924254;408;29;1;0;18;3629
1588310524224;414;29;1;0;18;3629
1588312024165;404;29;1;0;18;3629
1588312924102;416;29;1;0;18;3629
1588313224121;412;29;1;0;18;3629
1588313524095;410;29;1;0;18.1;3629
1588314424044;416;29;1;0;18;3631
1588314724013;415;29;1;0;18;3629
1588315023994;410;29;1;0;18;3626
1588315323983;404;29;1;0;18.1;3629
1588316223948;412;29;1;0;18;3629
1588316823918;406;29;1;0;18.1;3629
1588317123907;408;29;1;0;18;3631
1588319823749;403;29;1;0;18.1;3631
1588320123733;411;29;1;0;18;3629
1588320423717;412;29;1;0;18;3629
1588321323696;404;29;1;0;18;3629
1588321623677;411;29;1;0;18.1;3629
1588321923666;412;29;1;0;18;3629
1588322223650;402;29;1;0;18.1;3629
1588322523617;415;29;1;0;18.1;3629
1588322823602;407;29;1;0;18;3629
1588323423569;405;29;1;0;18.1;3629
1588324023556;409;29;1;0;18.1;3629
1588324323539;415;29;1;0;18;3629
1588324923488;417;29;1;0;18.1;3626
