ts;co2;humidity;light;motion;temperature;vdd;;
1.58828E+12;407;24;0;0;19.6;3640;;
1.58828E+12;421;24;0;0;19.6;3638;;30.04.20 21:08
1.58828E+12;410;24;0;0;19.6;3638;;30.04.20 21:13
1.58828E+12;410;24;0;0;19.6;3640;;30.04.20 21:18
1.58828E+12;414;24;0;0;19.6;3638;;30.04.20 21:23
1.58828E+12;408;24;0;0;19.6;3640;;30.04.20 21:28
1.58828E+12;414;24;0;0;19.6;3638;;30.04.20 21:33
1.58828E+12;410;24;0;0;19.6;3640;;30.04.20 21:43
1.58828E+12;414;24;0;0;19.6;3638;;30.04.20 21:48
1.58828E+12;414;24;0;0;19.5;3638;;30.04.20 21:53
1.58828E+12;403;24;0;0;19.5;3638;;30.04.20 21:58
1.58828E+12;410;24;0;0;19.6;3638;;30.04.20 22:03
1.58828E+12;410;24;0;0;19.6;3638;;30.04.20 22:08
1.58828E+12;402;24;0;0;19.6;3638;;30.04.20 22:13
1.58829E+12;405;24;0;0;19.6;3638;;30.04.20 22:23
1.58829E+12;413;24;0;0;19.6;3638;;30.04.20 22:28
1.58829E+12;418;24;0;0;19.5;3638;;30.04.20 22:33
1.58829E+12;414;24;0;0;19.5;3638;;30.04.20 22:38
1.58829E+12;415;24;0;0;19.5;3638;;30.04.20 22:43
1.58829E+12;419;24;0;0;19.5;3640;;30.04.20 22:48
1.58829E+12;423;24;0;0;19.6;3638;;30.04.20 22:53
1.58829E+12;410;24;0;0;19.6;3640;;30.04.20 23:03
1.58829E+12;419;24;0;0;19.5;3638;;30.04.20 23:08
1.58829E+12;413;24;0;0;19.6;3638;;30.04.20 23:13
1.58829E+12;416;24;0;0;19.5;3638;;30.04.20 23:18
1.58829E+12;415;24;0;0;19.5;3638;;30.04.20 23:23
1.58829E+12;409;24;0;0;19.5;3638;;30.04.20 23:28
1.58829E+12;422;24;0;0;19.5;3638;;30.04.20 23:33
1.58829E+12;408;24;0;0;19.5;3638;;30.04.20 23:43
1.58829E+12;420;25;0;0;19.5;3638;;30.04.20 23:48
1.58829E+12;411;25;0;0;19.5;3638;;30.04.20 23:53
1.58829E+12;409;25;0;0;19.5;3638;;30.04.20 23:58
1.58829E+12;406;25;0;0;19.5;3638;;01.05.20 0:03
1.58829E+12;411;25;0;0;19.4;3638;;01.05.20 0:08
1.58829E+12;411;25;0;0;19.5;3638;;01.05.20 0:13
1.58829E+12;418;25;0;0;19.5;3638;;01.05.20 0:18
1.58829E+12;414;25;0;0;19.4;3638;;01.05.20 0:23
1.58829E+12;417;25;0;0;19.4;3638;;01.05.20 0:28
1.58829E+12;410;25;0;0;19.5;3638;;01.05.20 0:33
1.58829E+12;417;25;0;0;19.4;3638;;01.05.20 0:38
1.58829E+12;416;25;0;0;19.5;3638;;01.05.20 0:48
1.58829E+12;416;25;0;0;19.4;3638;;01.05.20 0:53
1.58829E+12;420;25;0;0;19.4;3638;;01.05.20 0:58
1.5883E+12;416;25;0;0;19.4;3638;;01.05.20 1:08
1.5883E+12;409;25;0;0;19.4;3638;;01.05.20 1:13
1.5883E+12;423;25;0;0;19.4;3638;;01.05.20 1:18
1.5883E+12;418;25;0;0;19.4;3638;;01.05.20 1:23
1.5883E+12;423;25;0;0;19.3;3638;;01.05.20 1:28
1.5883E+12;410;26;1;0;19.4;3640;;01.05.20 1:38
1.5883E+12;407;25;1;0;19.4;3640;;01.05.20 1:43
1.5883E+12;406;26;4;0;19.3;3638;;01.05.20 1:53
1.5883E+12;422;26;7;0;19.3;3638;;01.05.20 1:58
1.5883E+12;406;26;13;0;19.3;3638;;01.05.20 2:03
1.5883E+12;399;26;18;0;19.4;3640;;01.05.20 2:08
1.5883E+12;403;26;22;0;19.3;3638;;01.05.20 2:13
