ts;tr;tm
1591722664;21.3;24.9
1591722964;21.3;25.0
1591723280;21.3;24.6
1591723564;21.4;24.8
1591724464;21.3;24.8
1591725064;21.3;24.3
1591725364;21.3;24.4
1591725664;21.3;24.3
1591725964;21.2;24.2
1591726264;21.3;24.1
1591726564;21.7;23.9
1591726864;21.2;24.1
1591727164;21.3;24.0
1591727464;21.2;23.6
1591727764;21.2;23.7
1591728064;21.2;23.7
1591728664;21.2;23.3
1591728964;21.2;23.5
1591729264;21.2;23.2
1591729564;21.2;23.2
1591729864;21.2;23.2
1591730164;21.2;23.3
1591730464;21.2;23.1
1591730764;21.2;23.0
1591731364;21.2;22.9
1591731664;21.1;22.7
1591731964;21.1;22.7
1591732264;21.1;22.7
1591732864;21.1;22.3
1591733164;21.1;22.4
1591733464;21.1;22.3
1591733764;21.1;22.3
1591734364;21.2;22.4
1591734664;21.1;22.4
1591734964;21.1;22.1
1591735263;21.1;22.2
1591735563;21.1;22.0
1591735863;21.0;22.0
1591736163;21.1;22.1
1591736763;21.1;22.1
1591737063;21.1;22.0
1591737363;21.1;22.0
1591737663;21.1;22.0
1591738263;21.1;21.9
1591738563;21.0;21.9
1591738863;21.0;22.0
1591739163;21.0;21.8
1591739463;21.0;21.6
1591739763;21.0;21.6
1591740063;21.0;21.8
1591740663;21.0;21.6
1591740963;21.0;21.4
1591741563;21.0;21.5
1591741863;21.0;21.7
1591742163;21.0;21.6
1591742463;21.0;21.4
1591742763;21.0;21.3
1591743063;21.0;21.0
1591743363;21.0;21.3
1591743663;21.0;21.1
1591743963;21.0;20.8
1591744263;21.0;21.0
1591744863;20.9;20.6
1591745163;20.9;20.9
1591745763;20.9;20.8
1591746063;20.9;20.7
1591746363;21.0;20.8
1591746663;20.9;20.9
1591746963;20.9;21.1
1591747563;20.9;21.1
1591748463;20.9;20.9
1591749063;20.9;20.9
1591749363;20.9;20.8
1591749663;20.9;20.8
1591749963;20.9;20.8
1591750563;20.9;20.9
1591750863;20.9;20.9
1591751163;20.9;20.9
1591751463;20.9;20.9
1591751763;20.9;20.9
1591752063;20.9;20.8
1591752363;20.9;20.8
1591752663;20.9;20.8
1591752963;20.9;20.8
1591753263;20.9;20.8
1591753863;20.9;20.8
1591754163;20.9;20.8
1591755063;21.0;21.1
1591755363;21.1;21.2
1591755663;21.2;21.3
1591756262;21.3;21.3
1591756562;21.3;21.3
1591757162;21.4;21.5
1591757462;21.5;21.5
1591758362;21.7;22.0
1591758662;21.8;21.8
1591758962;21.8;21.8
1591759262;21.9;21.9
1591759562;21.9;21.9
1591759862;22.1;21.6
1591760162;22.1;22.0
1591760462;22.1;22.2
1591761062;22.3;22.2
1591761362;22.3;22.4
1591761662;22.3;22.5
1591761962;22.4;22.6
1591762262;22.5;22.7
1591762562;22.5;22.7
1591762862;22.6;22.8
1591763462;22.6;23.0
1591764062;22.7;23.4
1591764362;22.7;23.6
1591764662;22.7;23.9
1591764962;22.7;23.8
1591765562;22.8;24.3
1591765862;22.8;24.2
1591766162;22.8;24.4
1591766462;22.8;24.1
1591766762;22.8;24.0
1591767362;22.8;24.1
1591767662;22.9;24.4
1591767962;22.8;24.8
1591768262;22.8;24.6
1591768862;22.8;24.5
1591769162;22.8;24.6
1591770662;22.7;25.7
1591770962;22.7;25.9
1591771262;22.7;25.8
1591771562;22.7;26.0
1591771862;22.7;26.0
1591773062;22.6;26.8
1591773362;22.6;26.6
1591773662;22.7;27.0
1591775162;22.6;27.5
1591775462;22.6;27.5
1591775762;22.5;26.5
1591776062;22.6;27.8
1591777261;22.5;27.0
1591777562;22.5;26.8
1591777861;22.5;27.7
1591778161;22.5;27.6
1591778761;22.5;28.0
1591779061;22.5;27.3
1591779361;22.5;27.3
1591779961;22.5;28.1
1591780261;22.4;28.3
1591780861;22.5;28.0
1591781161;22.5;28.1
1591781461;22.5;27.8
1591781761;22.5;27.7
1591782061;22.5;27.7
1591782361;22.5;28.2
1591782661;22.5;27.9
1591783561;22.5;27.8
1591784161;22.5;28.0
1591785061;22.5;27.9
1591785361;22.5;27.8
1591785961;22.6;27.6
1591786261;22.5;27.9
1591786861;22.5;28.2
1591787461;22.6;29.6
1591787761;22.5;28.5
1591788361;22.6;28.4
1591788661;22.7;28.2
1591788961;22.7;28.6
1591789261;22.6;28.6
1591789561;22.6;28.1
1591789861;22.7;27.9
1591790161;22.7;27.6
1591790461;22.7;27.6
1591790761;22.7;27.4
1591791061;22.6;27.4
1591791661;22.6;25.3
1591791961;22.6;25.0
1591792261;22.6;24.9
1591792561;22.6;25.1
1591792861;22.6;25.2
1591793461;22.5;24.3
1591793761;22.5;23.2
1591794061;22.5;22.6
1591794361;22.5;22.8
1591794661;22.5;22.8
1591795261;22.4;21.9
1591795561;22.4;21.4
1591795861;22.4;21.5
1591796461;22.4;21.7
1591797061;22.3;22.2
1591797961;22.3;22.1
1591798261;22.2;22.2
1591798560;22.2;21.9
1591798860;22.2;21.7
1591799460;22.2;21.3
1591799760;22.1;20.9
1591800660;22.1;20.6
1591800960;22.1;20.6
1591801260;22.0;20.2
1591802160;22.0;20.0
1591802760;22.0;19.2
1591803060;22.0;19.4
1591804560;22.0;20.5
1591804860;21.9;20.5
1591805160;21.9;20.4
1591805760;21.9;20.4
1591806060;21.9;20.0
1591806360;21.8;19.7
1591806660;21.9;19.5
1591806960;21.9;19.2
1591807260;21.9;19.4
1591807560;21.9;19.5
1591807860;21.8;19.7
1591808460;21.9;19.6
1591808760;21.9;19.6
1591809060;21.9;19.7
1591809360;21.9;19.6
1591809660;21.9;19.7
1591809960;21.8;19.7
1591810260;21.8;19.9
1591810560;21.8;19.6
1591810860;21.8;19.3
1591811160;21.8;19.4
1591811460;21.8;19.7
1591811760;21.8;19.9
1591812060;21.8;19.8
1591812360;21.8;19.5
1591812660;21.8;19.6
1591812960;21.8;19.5
1591813260;21.7;19.4
1591813560;21.8;19.4
1591813860;21.7;19.4
1591814160;21.7;19.2
1591814460;21.8;19.2
1591814760;21.7;19.5
1591815360;21.7;19.6
1591815660;21.7;19.5
1591816260;21.7;19.0
1591816560;21.7;19.3
1591816860;21.7;19.3
1591817160;21.6;19.5
1591817760;21.6;19.4
1591818060;21.7;19.2
1591818660;21.7;19.3
1591818960;21.6;19.3
1591819560;21.6;19.5
1591819859;21.6;19.6
1591820159;21.6;19.7
1591820459;21.6;19.7
1591821059;21.6;19.7
1591821359;21.6;19.5
1591821659;21.6;19.5
1591821959;21.6;19.3
1591822259;21.6;19.3
1591822559;21.6;19.2
1591823159;21.6;19.1
1591823459;21.6;18.9
1591823759;21.5;18.9
1591824059;21.5;19.1
1591824359;21.5;19.0
1591824659;21.5;19.1
1591824959;21.5;19.0
1591825259;21.5;19.2
1591825559;21.5;19.3
1591825859;21.5;19.3
1591826159;21.5;19.5
1591826459;21.5;19.5
1591826759;21.5;19.7
1591827059;21.5;19.9
1591828259;21.5;19.1
1591828559;21.5;18.9
1591828859;21.5;18.9
1591829159;21.5;18.7
1591829759;21.5;18.9
1591830059;21.4;19.2
1591830659;21.5;19.1
1591830959;21.5;19.2
1591831259;21.4;19.4
1591831559;21.5;19.4
1591831859;21.4;19.3
1591832159;21.4;19.2
1591832459;21.4;19.5
1591833059;21.4;19.4
