ts;co2;humidity;light;motion;temperature;vdd
1591722787235;455;65;10;0;21.7;3633
1591723177651;438;65;7;0;21.7;3633
1591723387216;454;65;5;0;21.7;3630
1591723687193;445;65;4;0;21.7;3630
1591723987182;451;65;3;0;21.7;3630
1591724287139;454;65;2;0;21.6;3633
1591724587129;449;65;1;0;21.6;3633
1591724887107;441;65;0;0;21.6;3633
1591725187105;445;65;0;0;21.6;3630
1591725487087;445;65;0;0;21.6;3630
1591725787061;445;65;0;0;21.6;3633
1591726087061;454;65;0;0;21.5;3633
1591726387001;441;66;0;0;21.6;3633
1591726687007;443;65;0;0;21.5;3630
1591726986986;444;66;0;0;21.5;3630
1591727286972;451;66;0;0;21.5;3630
1591727586972;441;66;0;0;21.5;3633
1591727886960;443;66;0;0;21.4;3633
1591728186938;441;66;0;0;21.4;3633
1591728486923;438;66;0;2;21.4;3633
1591728786879;442;66;0;0;21.4;3633
1591729086865;436;66;0;0;21.4;3630
1591729386834;444;66;0;0;21.4;3633
1591729686815;444;66;0;0;21.4;3630
1591729986818;454;66;0;0;21.4;3630
1591730286797;448;66;0;0;21.3;3630
1591730586787;440;66;0;0;21.3;3630
1591730886789;433;66;0;0;21.4;3630
1591731186752;440;66;0;0;21.3;3630
1591731486731;437;66;0;0;21.3;3630
1591731786719;443;66;0;0;21.3;3630
1591732086718;437;66;0;0;21.4;3633
1591732386683;443;66;0;0;21.3;3633
1591732686679;435;67;0;0;21.3;3630
1591732986671;443;67;0;0;21.3;3630
1591733286650;441;67;0;0;21.3;3630
1591733586611;438;67;0;0;21.2;3630
1591733886586;442;67;0;0;21.3;3633
1591734186595;436;67;0;0;21.3;3633
1591734486564;434;67;0;0;21.3;3630
1591734786555;439;67;0;0;21.3;3633
1591735086549;435;67;0;0;21.3;3630
1591735386534;435;67;0;0;21.2;3630
1591735686502;433;67;0;0;21.2;3630
1591735986474;439;67;0;0;21.2;3627
1591736286463;429;67;0;0;21.2;3630
1591736586445;439;67;0;0;21.2;3630
1591736886407;434;67;0;0;21.2;3630
1591737186429;433;67;0;0;21.2;3630
1591737486415;435;67;0;0;21.2;3630
1591737786379;429;67;0;0;21.1;3630
1591738086371;438;67;0;0;21.2;3630
1591738386360;431;67;0;0;21.1;3630
1591738686328;434;67;0;0;21.1;3630
1591738986305;430;67;0;0;21.2;3630
1591739286289;427;67;0;0;21.1;3630
1591739586272;442;67;0;0;21.1;3630
1591739886307;427;67;0;0;21.1;3630
1591740186254;435;67;0;0;21.1;3630
1591740486238;436;67;0;0;21.1;3630
1591740786198;434;67;0;0;21.1;3630
1591741086184;433;67;0;0;21.1;3627
1591741386165;434;67;0;0;21.2;3630
1591741686167;431;68;0;0;21.1;3630
1591741986149;424;68;0;0;21.1;3630
1591742286144;428;68;0;0;21;3630
1591742586123;434;68;0;0;21.1;3633
1591742886106;436;68;0;0;21.1;3630
1591743186071;431;68;0;0;21.1;3630
1591743486035;434;68;0;0;21.1;3627
1591743786038;434;68;0;0;21.1;3630
1591744086006;425;68;0;0;21;3630
1591744386014;419;68;0;0;21;3627
1591744686007;423;68;0;0;21.1;3630
1591744985981;434;68;0;0;21;3630
1591745285961;425;68;0;0;21;3630
1591745585933;432;68;0;0;21.1;3627
1591745885913;419;68;0;0;21;3630
1591746185900;429;68;0;0;21;3630
1591746485882;426;68;0;1;21;3630
1591746785880;415;68;0;0;21;3630
1591747085874;421;68;0;0;21;3630
1591747385857;433;68;0;0;21;3630
1591747685805;422;68;0;0;21;3630
1591747985800;426;68;0;0;20.9;3630
1591748285771;430;68;0;0;20.9;3627
1591748585765;424;68;0;0;20.9;3630
1591748885756;421;68;0;0;21;3630
1591749185733;430;68;0;0;20.9;3630
1591749485725;420;68;0;0;20.9;3630
1591749785710;422;68;0;0;20.9;3627
1591750085677;421;68;0;0;21;3630
1591750385678;426;68;0;0;20.9;3630
1591750685647;429;68;0;0;20.9;3630
1591750985645;424;68;1;0;20.9;3627
1591751285621;418;68;2;0;20.9;3630
1591751585591;429;68;3;0;20.9;3630
1591751885589;423;68;5;0;20.9;3630
1591752185575;428;68;10;0;20.9;3630
1591752485536;419;68;19;0;20.9;3627
1591752785523;423;68;30;0;20.9;3630
1591753085510;425;68;47;0;20.9;3633
1591753385489;418;68;89;0;20.9;3630
1591753685487;429;68;87;0;20.9;3630
1591753985457;428;68;122;0;21;3630
1591754285455;417;68;133;0;21;3630
1591754585441;418;68;213;0;21;3630
1591754885402;420;68;280;0;21;3630
1591755185381;415;68;331;0;21;3627
1591755485368;421;68;359;0;21.1;3630
1591755785356;424;68;381;0;21.2;3630
1591756085355;423;68;390;0;21.2;3630
1591756385327;417;68;401;0;21.3;3630
1591756685315;414;67;423;0;21.3;3630
1591756985299;419;67;465;0;21.4;3630
1591757285264;420;67;481;0;21.5;3630
1591757585246;426;67;491;0;21.5;3630
1591757885233;423;67;513;0;21.6;3630
1591758185213;415;67;523;0;21.6;3630
1591758485201;413;66;522;0;21.7;3630
1591758785199;424;66;530;0;21.8;3633
1591759085178;413;66;535;0;21.9;3627
1591759385173;423;66;541;0;21.9;3630
1591759685123;414;66;544;0;22;3633
1591759985112;412;65;539;0;22.1;3630
1591760285070;420;65;536;0;22.2;3630
1591760585075;419;65;534;0;22.2;3633
1591760885064;415;65;529;0;22.2;3627
1591761185061;418;65;527;0;22.4;3630
1591761485050;415;64;527;0;22.4;3633
1591761785031;418;64;528;0;22.5;3630
1591762084997;421;64;527;0;22.5;3633
1591762384977;425;64;518;0;22.6;3627
1591762684956;423;64;511;0;22.6;3630
1591762984944;420;63;495;0;22.7;3633
1591763284939;432;63;482;0;22.8;3633
1591763584931;423;63;468;0;22.7;3633
1591763884907;426;63;453;0;22.8;3630
1591764184887;418;63;437;0;22.9;3633
1591764484839;423;63;423;0;22.9;3633
1591764784834;418;63;401;0;22.9;3633
1591765084826;418;63;388;0;22.9;3630
1591765384799;417;63;377;0;23;3630
1591765684806;422;62;378;0;22.9;3633
1591765984789;413;62;364;0;23;3633
1591766284760;420;62;345;0;23;3633
1591766584761;429;62;323;0;23;3633
1591766884708;424;62;299;0;23;3633
1591767184699;421;62;283;0;23.1;3630
1591767484677;422;62;271;0;23;3633
1591767784674;422;62;257;0;23;3630
1591768084654;423;62;247;0;23;3633
1591768384643;422;62;238;0;23;3633
1591768684633;422;62;228;0;23.1;3633
1591768984598;429;62;222;0;23;3633
1591769284572;420;62;216;0;23.1;3633
1591769584563;431;62;212;0;23;3633
1591769884545;423;62;209;0;23;3633
1591770184542;431;62;209;0;23;3633
1591770484532;422;62;208;0;23;3633
1591770784504;430;62;209;0;23;3633
1591771084498;431;62;205;0;23;3633
1591771384467;430;62;203;0;22.9;3633
1591771684438;417;62;200;0;22.9;3630
1591771984422;429;62;199;0;22.9;3633
1591772284410;422;62;200;0;23;3633
1591772584410;432;62;200;0;22.9;3633
1591772884398;418;62;201;0;22.9;3633
1591773184386;433;62;202;0;22.9;3633
1591773484363;426;62;201;0;22.9;3633
1591773784325;431;62;201;0;22.9;3633
1591774084311;432;62;203;0;22.9;3633
1591774384288;427;62;208;0;22.9;3633
1591774684273;432;62;206;0;22.8;3633
1591774984273;440;62;203;0;22.8;3633
1591775284256;439;62;202;0;22.8;3633
1591775584247;432;62;202;0;22.9;3633
1591775884221;439;62;201;0;22.9;3633
1591776184173;438;62;201;0;22.8;3633
1591776484168;446;62;197;0;22.9;3630
1591776784143;436;62;196;0;22.8;3633
1591777084143;437;62;199;0;22.8;3633
1591777384129;448;62;198;0;22.8;3633
1591777684121;431;62;198;0;22.8;3633
1591777984098;444;62;199;0;22.8;3633
1591778284094;438;62;126;0;22.8;3633
1591778584082;447;62;114;0;22.7;3633
1591778884033;449;62;219;0;22.8;3633
1591779184022;438;62;214;0;22.8;3633
1591779484000;441;62;208;0;22.8;3633
1591779784008;444;62;206;0;22.7;3633
1591780083992;443;62;205;0;22.8;3633
1591780383968;453;62;204;0;22.8;3633
1591780683953;445;62;210;0;22.8;3633
1591780983911;449;62;212;0;22.8;3633
1591781283902;449;62;203;0;22.7;3633
1591781583902;453;62;210;0;22.8;3633
1591781883866;450;62;203;0;22.8;3633
1591782183849;447;62;214;0;22.8;3633
1591782483840;455;62;225;0;22.8;3633
1591782783811;455;62;170;0;22.8;3633
1591783083815;457;62;231;0;22.7;3633
1591783383777;450;62;233;0;22.8;3633
1591783683756;450;62;248;0;22.8;3633
1591783983725;455;62;214;0;22.8;3633
1591784283714;459;62;280;0;22.7;3633
1591784583738;447;63;239;0;22.8;3633
1591784883687;451;62;342;0;22.8;3633
1591785183694;453;62;252;0;22.9;3633
1591785483693;443;62;238;0;22.9;3633
1591785783660;457;62;194;0;22.9;3633
1591786083607;464;62;179;0;22.9;3633
1591786383610;451;62;207;0;22.9;3633
1591786683593;457;62;254;0;22.9;3633
1591786983590;466;62;275;0;22.9;3633
1591787283574;459;62;312;0;22.9;3633
1591787583558;464;62;273;0;22.9;3633
1591787883548;461;62;315;0;23;3633
1591788183500;459;62;312;0;23;3633
1591788483489;467;62;318;0;22.9;3633
1591788783473;461;62;343;0;23;3633
1591789083464;465;62;377;0;23;3633
1591789383464;460;62;239;0;23;3633
1591789683452;464;62;227;0;23.1;3633
1591789983406;462;62;153;0;23;3633
1591790283414;457;62;175;0;23;3633
1591790583370;458;62;113;0;23.1;3633
1591790883342;460;62;47;0;23.1;3633
1591791183341;460;62;25;0;23;3633
1591791483338;467;62;20;0;23;3633
1591791783332;465;62;14;0;23;3633
1591792083294;467;62;9;0;23;3633
1591792383283;470;62;7;0;22.9;3633
1591792683305;477;62;4;0;22.9;3633
1591792983234;468;62;1;0;22.9;3633
1591793283230;465;62;0;0;22.8;3633
1591793583208;459;62;0;0;22.8;3633
1591793883180;449;62;0;0;22.8;3633
1591794183188;459;62;0;0;22.8;3633
1591794483179;456;62;0;0;22.8;3633
1591794783153;453;63;0;0;22.7;3633
1591795083145;455;63;0;0;22.7;3633
1591795383087;449;63;0;0;22.7;3633
1591795683094;448;63;0;0;22.6;3633
1591795983064;448;63;0;0;22.6;3633
1591796283065;449;63;0;0;22.6;3633
1591796583058;448;63;0;0;22.6;3633
1591796883033;443;63;0;0;22.5;3633
1591797183012;443;64;0;0;22.5;3633
1591797482980;436;64;0;0;22.5;3633
1591797782971;437;64;0;0;22.4;3633
1591798082951;442;64;0;0;22.4;3633
1591798382932;445;64;0;0;22.4;3633
1591798682954;442;64;0;0;22.4;3633
1591798982912;436;64;0;0;22.3;3633
1591799282895;433;64;0;0;22.3;3633
1591799582887;454;64;0;0;22.2;3633
1591799882876;440;64;0;0;22.2;3633
1591800182814;444;64;0;0;22.3;3633
1591800482804;439;65;0;0;22.2;3633
1591800782778;439;65;0;0;22.2;3633
1591801082796;454;65;0;0;22.1;3633
1591801382787;441;65;0;0;22.1;3633
1591801682768;444;65;0;0;22.1;3630
1591801982747;437;65;0;0;22.1;3633
1591802282712;440;65;1;0;22.1;3633
1591802582699;438;65;1;0;22.1;3633
1591802882669;431;66;1;0;22;3633
1591803182653;438;66;1;0;22;3633
1591803482624;432;66;1;0;22;3633
1591803782644;439;66;2;0;22;3630
1591804082622;437;66;2;0;22;3633
1591804382617;435;67;3;0;21.9;3633
1591804682568;434;67;4;0;21.9;3630
1591804982555;429;67;5;0;21.9;3633
1591805282512;438;67;6;0;21.9;3633
1591805582524;437;67;7;0;21.9;3633
1591805882517;438;67;9;0;21.8;3633
1591806182500;443;67;10;0;21.9;3633
1591806482488;437;67;10;0;21.8;3633
1591806782476;442;67;11;0;21.8;3633
1591807082446;432;67;11;0;21.8;3633
1591807382413;439;67;10;0;21.8;3633
1591807682400;439;67;9;0;21.8;3633
1591807982378;440;67;8;0;21.8;3633
1591808282388;440;68;6;0;21.8;3633
1591808582366;438;68;4;0;21.7;3630
1591808882455;437;68;3;0;21.8;3633
1591809182333;439;68;2;0;21.8;3630
1591809482301;432;68;2;0;21.8;3633
1591809782276;443;68;1;0;21.8;3633
1591810082258;438;68;1;0;21.8;3630
1591810382251;427;68;1;0;21.8;3630
1591810682223;428;68;1;0;21.7;3633
1591810982232;446;68;1;0;21.7;3630
1591811282189;441;68;0;0;21.7;3633
1591811582199;426;68;0;0;21.7;3630
1591811882162;443;68;0;0;21.7;3630
1591812182141;438;68;0;0;21.6;3633
1591812482127;438;68;0;0;21.7;3633
1591812782118;433;68;0;0;21.7;3633
1591813082091;436;68;0;0;21.6;3630
1591813382098;434;68;0;0;21.6;3630
1591813682078;438;68;0;0;21.7;3630
1591813982062;440;69;0;0;21.6;3630
1591814282025;436;69;0;0;21.6;3633
1591814582008;434;69;0;0;21.6;3630
1591814881974;440;69;0;0;21.6;3633
1591815181990;436;69;0;0;21.5;3630
1591815481977;445;69;0;0;21.6;3633
1591815781964;443;69;0;0;21.6;3630
1591816081938;443;69;0;0;21.5;3633
1591816381903;440;69;0;0;21.6;3633
1591816681887;443;69;0;0;21.5;3630
1591816981866;453;69;0;0;21.6;3633
1591817281855;446;69;0;0;21.5;3633
1591817581838;448;68;0;0;21.5;3633
1591817881838;448;68;0;0;21.4;3630
1591818181818;442;68;0;0;21.5;3633
1591818481803;448;68;0;0;21.5;3630
1591818781795;439;68;0;0;21.4;3630
1591819081749;452;68;0;0;21.5;3630
1591819381732;446;68;0;0;21.5;3630
1591819681704;456;68;0;0;21.4;3633
1591819981719;454;68;0;0;21.4;3633
1591820281673;451;68;0;0;21.4;3633
1591820581685;442;68;0;0;21.4;3630
1591820881670;456;67;0;0;21.4;3633
1591821181659;460;67;0;0;21.4;3630
1591821481610;461;67;0;0;21.4;3630
1591821781596;457;67;0;0;21.4;3630
1591822081583;457;67;0;0;21.4;3633
1591822381585;455;67;0;0;21.4;3633
1591822681573;458;67;0;0;21.4;3633
1591822981537;456;67;0;0;21.4;3633
1591823281527;471;67;0;0;21.4;3633
1591823581496;451;67;0;0;21.4;3633
1591823881470;459;67;0;0;21.3;3633
1591824181447;462;67;0;0;21.3;3630
1591824481440;462;67;0;0;21.4;3633
1591824781440;451;67;0;0;21.4;3630
1591825081427;458;67;0;0;21.4;3627
1591825381391;466;67;0;0;21.3;3630
1591825681395;471;67;0;0;21.3;3630
1591825981330;464;67;0;0;21.3;3633
1591826281345;465;67;0;0;21.3;3630
1591826581362;460;67;0;0;21.3;3630
1591826881307;467;67;0;0;21.3;3633
1591827181294;468;67;0;0;21.3;3630
1591828081244;473;67;0;0;21.3;3633
1591828381215;479;67;0;0;21.3;3630
1591828681207;460;67;0;0;21.3;3633
1591828981181;468;67;0;0;21.3;3630
1591829281171;475;67;0;0;21.3;3630
1591829581165;476;67;0;0;21.3;3630
1591829881154;472;67;0;0;21.3;3633
1591830181154;461;67;0;0;21.3;3630
1591830481124;461;67;0;0;21.2;3630
1591830781083;472;67;0;0;21.2;3630
1591831081067;465;67;0;0;21.3;3633
1591831381060;475;67;0;0;21.3;3630
