ts;co2;humidity;light;motion;temperature;vdd
1591724051024;430;64;1;0;18.4;3642
1591724950967;436;64;1;0;18.4;3642
1591727350837;437;64;1;0;18.4;3642
1591736050400;437;64;1;0;18.4;3642
1591751049706;440;64;1;0;18.5;3642
1591751349682;440;64;1;0;18.5;3642
1591751949649;436;64;1;0;18.6;3642
1591752849626;428;64;1;0;18.5;3642
1591753749561;437;64;1;0;18.6;3639
1591754349537;439;64;1;0;18.6;3639
1591755249521;433;64;1;0;18.6;3642
1591755849477;436;64;1;0;18.5;3639
1591760049204;435;64;1;0;18.6;3642
1591760949148;436;64;1;0;18.6;3642
1591762449090;438;64;1;0;18.6;3642
1591763049054;431;64;1;0;18.6;3642
1591763349034;435;64;1;0;18.6;3642
1591763949005;441;64;1;0;18.6;3642
1591764848970;440;64;1;0;18.6;3639
1591765748922;436;64;1;0;18.6;3642
1591767248852;437;64;1;0;18.7;3642
1591767848829;434;64;1;0;18.7;3642
1591768748750;438;64;1;0;18.7;3642
1591772048590;434;64;1;0;18.7;3642
1591772648558;432;64;1;0;18.7;3642
1591772948560;435;64;1;0;18.7;3642
1591774448458;440;64;1;0;18.7;3642
1591775348445;441;64;1;0;18.7;3642
1591777448334;429;64;1;0;18.7;3642
1591777748311;438;64;1;0;18.7;3642
1591780748164;447;64;1;0;18.7;3642
1591781048154;439;64;1;0;18.8;3642
1591781648105;444;64;1;0;18.8;3642
1591782548082;437;64;1;0;18.8;3642
1591783747992;446;64;1;0;18.7;3642
1591784047973;435;64;1;0;18.8;3642
1591784947948;442;64;1;0;18.8;3639
1591787047820;436;64;1;0;18.7;3642
1591787347837;436;64;1;0;18.8;3642
1591789447700;430;64;1;0;18.8;3642
1591792147565;437;64;1;0;18.8;3642
1591794847436;441;64;1;0;18.8;3642
1591800847157;443;64;1;0;18.8;3642
1591801747098;437;64;1;0;18.8;3642
1591803247011;439;64;1;0;18.8;3642
1591803847006;437;64;1;0;18.8;3642
1591804146969;443;64;1;0;18.9;3639
1591804746930;437;64;1;0;18.9;3642
1591805646925;438;64;1;0;18.9;3642
1591806546868;443;64;1;0;18.9;3642
1591806846837;442;64;1;0;18.9;3642
1591807146816;441;64;1;0;18.9;3639
1591808046780;448;64;1;0;18.9;3642
1591808946763;446;64;1;0;18.9;3642
1591809246734;446;64;1;0;18.9;3642
1591809846681;429;64;1;0;18.9;3642
1591810446657;444;64;1;0;18.9;3642
1591811046643;452;64;1;0;18.9;3642
1591811346620;444;64;1;0;18.9;3642
1591811946568;443;64;1;0;18.9;3642
1591812546545;454;64;1;0;18.9;3642
1591812846530;448;64;1;0;18.9;3642
1591813746494;446;64;1;0;18.9;3642
1591814046486;451;64;1;0;18.9;3642
1591814346456;450;64;1;0;18.9;3642
1591814946421;444;64;1;0;19;3642
1591815846395;449;64;1;0;18.9;3642
1591816146388;449;64;1;0;18.9;3642
1591816446372;445;64;1;0;18.8;3642
