ts;co2;humidity;light;motion;temperature;vdd
1591722664615;452;66;8;0;21.3;3638
1591722964574;459;66;7;0;21.3;3638
1591723280993;456;66;5;0;21.3;3638
1591723564576;450;66;4;0;21.4;3638
1591724464511;464;66;2;0;21.3;3638
1591725064491;464;66;1;0;21.3;3638
1591725364478;467;66;1;0;21.3;3638
1591725664469;462;66;1;0;21.3;3638
1591725964454;460;66;0;0;21.2;3638
1591726264420;452;66;0;0;21.3;3638
1591726564404;451;66;0;0;21.2;3638
1591726864388;459;66;0;0;21.2;3640
1591727164381;455;66;0;0;21.3;3638
1591727464367;455;66;0;0;21.2;3638
1591727764366;467;66;0;0;21.2;3638
1591728064356;460;66;0;0;21.2;3638
1591728664330;451;66;0;0;21.2;3638
1591728964291;454;66;0;0;21.2;3638
1591729264279;450;66;0;0;21.2;3640
1591729564267;464;66;0;0;21.2;3640
1591729864253;452;66;0;0;21.2;3638
1591730164239;460;66;0;0;21.2;3640
1591730464248;462;66;0;0;21.2;3640
1591730764213;460;66;0;0;21.2;3638
1591731364177;460;66;0;0;21.2;3638
1591731664166;448;66;0;0;21.1;3638
1591731964143;448;66;0;0;21.1;3638
1591732264134;451;66;0;0;21.1;3638
1591732864118;460;66;0;0;21.1;3638
1591733164107;449;66;0;0;21.1;3640
1591733464095;449;66;0;0;21.1;3638
1591733764083;456;66;0;0;21.1;3640
1591734364040;457;66;0;0;21.2;3638
1591734664016;458;66;0;0;21.1;3638
1591734964025;464;66;0;0;21.1;3640
1591735263994;455;66;0;0;21.1;3640
1591735563993;448;66;0;0;21.1;3638
1591735863970;460;66;0;0;21;3638
1591736163972;457;66;0;0;21.1;3638
1591736763949;452;66;0;0;21.1;3638
1591737063903;464;66;0;0;21.1;3638
1591737363889;441;66;0;0;21.1;3638
1591737663910;451;66;0;0;21.1;3640
1591738263864;446;66;0;0;21.1;3638
1591738563855;462;66;0;0;21;3638
1591738863843;459;66;0;0;21;3638
1591739163826;455;66;0;0;21;3638
1591739463795;462;66;0;0;21;3638
1591739763801;459;66;0;0;21;3638
1591740063766;460;66;0;0;21;3638
1591740663732;453;66;0;0;21;3638
1591740963729;449;66;0;0;21;3638
1591741563709;451;66;0;0;21;3638
1591741863702;444;66;0;0;21;3638
1591742163693;465;67;0;0;21;3640
1591742463652;441;66;0;0;21;3638
1591742763640;449;66;0;0;21;3638
1591743063618;451;66;0;0;21;3638
1591743363606;452;66;0;0;21;3638
1591743663611;440;66;0;0;21;3638
1591743963602;454;66;0;0;21;3638
1591744263582;452;66;0;0;21;3638
1591744863555;446;66;0;0;20.9;3638
1591745163526;449;66;0;0;20.9;3638
1591745763492;443;66;0;0;20.9;3638
1591746063480;452;67;0;0;20.9;3638
1591746363486;456;66;0;0;21;3638
1591746663462;461;66;0;0;20.9;3638
1591746963455;441;67;0;0;20.9;3638
1591747563402;442;67;0;0;20.9;3638
1591748463357;437;67;0;0;20.9;3638
1591749063332;431;66;0;0;20.9;3638
1591749363351;442;67;0;0;20.9;3638
1591749663322;451;67;1;0;20.9;3640
1591749963317;450;67;1;0;20.9;3638
1591750563264;452;67;2;0;20.9;3640
1591750863252;447;67;3;0;20.9;3638
1591751163230;445;67;3;0;20.9;3638
1591751463226;438;67;5;0;20.9;3638
1591751763226;453;67;7;0;20.9;3638
1591752063202;441;67;12;0;20.9;3638
1591752363207;454;67;18;0;20.9;3638
1591752663181;431;67;27;0;20.9;3638
1591752963153;439;67;37;0;20.9;3638
1591753263133;440;67;55;0;20.9;3638
1591753863115;439;67;122;0;20.9;3638
1591754163099;450;67;160;0;20.9;3638
1591755063075;434;67;294;0;21;3638
1591755363063;434;67;333;0;21.1;3638
1591755663067;432;67;360;0;21.2;3638
1591756262999;437;67;405;0;21.3;3638
1591756562976;432;67;418;0;21.3;3638
1591757162952;434;66;505;0;21.4;3638
1591757462972;446;66;522;0;21.5;3638
1591758362890;426;66;596;0;21.7;3638
1591758662871;437;66;611;0;21.8;3638
1591758962862;438;66;626;0;21.8;3638
1591759262852;433;66;638;0;21.9;3638
1591759562849;430;66;656;0;21.9;3638
1591759862844;431;65;667;0;22.1;3638
1591760162822;425;65;667;0;22.1;3638
1591760462817;431;65;675;0;22.1;3638
1591761062761;435;65;672;0;22.3;3638
1591761362753;428;65;669;0;22.3;3638
1591761662722;419;65;669;0;22.3;3638
1591761962716;430;65;665;0;22.4;3638
1591762262725;419;65;653;0;22.5;3638
1591762562712;424;65;634;0;22.5;3638
1591762862696;436;65;616;0;22.6;3638
1591763462677;438;64;570;0;22.6;3638
1591764062614;434;64;526;0;22.7;3638
1591764362625;430;64;500;0;22.7;3638
1591764662581;434;64;471;0;22.7;3638
1591764962599;432;64;444;0;22.7;3640
1591765562569;427;64;411;0;22.8;3638
1591765862557;432;64;398;0;22.8;3638
1591766162552;434;64;373;0;22.8;3640
1591766462500;437;64;349;0;22.8;3638
1591766762498;444;64;316;0;22.8;3640
1591767362462;428;64;275;0;22.8;3640
1591767662463;433;64;258;0;22.9;3640
1591767962449;442;64;243;0;22.8;3638
1591768262439;435;64;230;0;22.8;3638
1591768862390;432;64;206;0;22.8;3640
1591769162376;428;64;198;0;22.8;3638
1591770662333;448;64;177;0;22.7;3640
1591770962310;421;64;173;0;22.7;3640
1591771262302;434;64;168;0;22.7;3640
1591771562312;432;64;163;0;22.7;3638
1591771862243;428;64;160;0;22.7;3638
1591773062216;432;64;154;0;22.6;3638
1591773362201;446;64;151;0;22.6;3640
1591773662180;421;65;150;0;22.7;3640
1591775162096;444;64;143;0;22.6;3638
1591775462086;447;64;141;0;22.6;3638
1591775762085;447;64;139;0;22.5;3638
1591776062070;445;64;139;0;22.6;3638
1591777261999;452;65;135;0;22.5;3638
1591777562004;447;64;134;0;22.5;3640
1591777861967;444;64;133;0;22.5;3638
1591778161961;447;64;140;0;22.5;3640
1591778761949;462;64;108;0;22.5;3638
1591779061932;449;64;138;0;22.5;3638
1591779361917;451;64;135;0;22.5;3638
1591779961872;456;64;133;0;22.5;3640
1591780261845;442;64;134;0;22.4;3640
1591780861834;456;64;139;0;22.5;3638
1591781161828;456;64;136;0;22.5;3638
1591781461822;445;64;136;0;22.5;3638
1591781761802;444;64;136;0;22.5;3638
1591782061781;463;64;139;0;22.5;3638
1591782361754;451;64;142;0;22.5;3640
1591782661734;451;64;93;0;22.5;3640
1591783561712;467;64;161;0;22.5;3640
1591784161678;455;64;166;0;22.5;3638
1591785061628;470;64;236;0;22.5;3638
1591785361603;457;64;177;0;22.5;3640
1591785961563;469;64;173;0;22.6;3640
1591786261566;463;64;163;0;22.5;3640
1591786861563;462;64;168;0;22.5;3640
1591787461524;467;64;166;0;22.6;3640
1591787761499;454;64;193;0;22.5;3640
1591788361471;461;64;197;0;22.6;3638
1591788661460;467;64;159;0;22.7;3640
1591788961459;468;64;221;0;22.7;3638
