ts;tr;tm
1591722821;20.1;25.0
1591724321;20.1;24.5
1591724621;20.1;24.8
1591725521;20.1;24.2
1591725821;20.0;24.4
1591726121;20.1;24.3
1591726421;20.1;23.8
1591726721;20.0;24.1
1591729421;20.0;23.2
1591734521;19.9;22.3
1591737820;19.8;21.9
1591739920;19.8;21.6
1591741420;19.8;21.6
1591742320;19.8;21.5
1591742620;19.8;21.2
1591744720;19.7;20.8
1591747720;19.8;21.1
1591748620;19.7;20.9
1591749220;19.7;20.9
1591749520;19.7;20.8
1591752519;19.7;20.8
1591753419;19.7;20.8
1591754619;19.7;20.9
1591754919;19.7;21.0
1591755519;19.7;21.2
1591755819;19.7;21.3
1591757319;19.6;21.5
1591759719;19.8;21.8
1591761819;19.7;22.5
1591766019;19.8;24.3
1591767218;19.8;24.1
1591767818;19.9;24.6
1591769318;19.9;25.0
1591769918;20.0;25.8
1591770818;20.0;25.6
1591771718;20.0;26.1
1591772618;20.0;26.4
1591773518;20.1;26.4
1591774718;20.1;26.5
1591775018;20.1;27.2
1591775618;20.2;26.9
1591777118;20.3;27.3
1591777418;20.3;27.6
1591777718;20.3;26.7
1591779218;20.3;27.1
1591779818;20.4;27.9
1591780118;20.4;28.1
1591780418;20.4;28.6
1591781317;20.5;28.0
1591782217;20.5;28.0
1591782517;20.6;28.1
1591783717;20.6;28.4
1591784317;20.6;27.9
1591784617;20.7;28.7
1591785517;20.6;27.7
1591785817;20.7;27.6
1591786117;20.7;27.8
1591786417;20.7;28.0
1591787017;20.7;28.4
1591787917;20.7;28.6
1591788517;20.8;28.6
1591789417;20.8;28.5
1591790317;20.8;27.6
1591790617;20.9;27.5
1591790917;20.8;27.4
1591791517;20.9;25.5
1591792417;20.8;25.0
1591793017;20.9;25.3
1591793317;20.8;25.1
1591793917;20.8;22.7
1591794217;20.8;22.8
1591794817;20.8;22.7
1591795717;20.8;21.6
1591796316;20.7;21.6
1591796616;20.7;22.1
1591796916;20.7;22.1
1591797216;20.7;22.2
1591797516;20.7;22.3
1591797816;20.7;22.3
1591799016;20.6;21.6
1591799616;20.6;21.2
1591800516;20.6;20.5
1591801416;20.5;20.0
1591802016;20.5;20.2
1591802316;20.5;19.6
1591802916;20.5;19.3
1591803516;20.5;20.0
1591803816;20.4;20.0
1591804416;20.5;20.5
1591805016;20.4;20.6
1591805316;20.4;20.4
1591805616;20.4;20.5
1591806216;20.4;19.8
1591806516;20.4;19.6
