ts;tr5;tr6;tr7;tw;twt;deltat
1596445282;21.300;21.3000023;20.800;21.500;1596445282;0
1596445305;21.300;21.3000007;20.800;21.600;1596445305;0
1596445328;21.300;21.2999992;20.800;21.700;1596445328;0
1596445350;21.300;21.2999978;20.800;21.400;1596445351;-1
1596445373;21.300;21.2999965;20.800;21.200;1596445374;-1
1596445396;21.300;21.2999954;20.800;21.000;1596445396;0
1596445419;21.300;21.2999945;20.800;20.900;1596445419;0
1596445441;21.300;21.2999939;20.800;20.800;1596445442;-1
1596445464;21.300;21.2999935;20.800;20.700;1596445465;-1
1596445487;21.300;21.2999934;20.800;20.600;1596445487;0
1596445510;21.300;21.2999936;20.800;20.500;1596445510;0
1596445532;21.300;21.2999943;20.800;20.400;1596445533;-1
1596445555;21.300;21.2999953;20.800;20.300;1596445556;-1
1596445578;21.300;21.2999968;20.800;20.300;1596445578;0
1596445601;21.300;21.2999987;20.800;20.300;1596445601;0
1596445623;21.300;21.3000012;20.800;20.300;1596445624;-1
1596445646;21.300;21.3000041;20.800;20.100;1596445647;-1
1596445669;21.300;21.3000072;20.800;20.200;1596445669;0
1596445692;21.300;21.3000103;20.800;20.100;1596445693;-1
1596445714;21.300;21.3000133;20.800;20.000;1596445715;-1
1596445737;21.300;21.3000158;20.800;19.900;1596445738;-1
1596445760;21.300;21.3000178;20.800;19.900;1596445760;0
1596445783;21.300;21.3000190;20.800;19.900;1596445783;0
1596445806;21.300;21.3000192;20.800;19.900;1596445806;0
1596445828;21.300;21.3000182;20.800;19.800;1596445829;-1
1596445851;21.300;21.3000158;20.800;19.700;1596445852;-1
1596445874;21.300;21.3000117;20.800;19.600;1596445874;0
1596445897;21.300;21.3000059;20.800;19.600;1596445897;0
1596445919;21.300;21.2999980;20.800;19.600;1596445920;-1
1596445942;21.300;21.2999882;20.800;19.600;1596445943;-1
1596445965;21.300;21.2999772;20.800;19.600;1596445965;0
1596445988;21.300;21.2999658;20.800;19.500;1596445988;0
1596446010;21.300;21.2999548;20.800;19.600;1596446011;-1
1596446033;21.300;21.2999449;20.800;19.500;1596446034;-1
1596446056;21.300;21.2999371;20.800;19.700;1596446056;0
1596446079;21.300;21.2999320;20.800;19.700;1596446079;0
1596446101;21.300;21.2999305;20.800;19.600;1596446102;-1
1596446124;21.300;21.2999334;20.800;19.500;1596446125;-1
1596446147;21.300;21.2999414;20.800;19.500;1596446147;0
1596446170;21.300;21.2999554;20.800;19.400;1596446170;0
1596446192;21.300;21.2999762;20.800;19.400;1596446193;-1
1596446215;21.300;21.3000045;20.800;19.400;1596446216;-1
1596446238;21.300;21.3000402;20.800;19.400;1596446238;0
1596446261;21.300;21.3000808;20.800;19.400;1596446261;0
1596446283;21.300;21.3001234;20.800;19.400;1596446284;-1
1596446306;21.300;21.3001650;20.800;19.400;1596446307;-1
1596446329;21.300;21.3002028;20.800;19.200;1596446330;-1
1596446352;21.300;21.3002337;20.800;19.400;1596446352;0
1596446375;21.300;21.3002550;20.800;19.400;1596446375;0
1596446397;21.300;21.3002636;20.800;19.300;1596446398;-1
1596446420;21.300;21.3002567;20.800;19.400;1596446421;-1
1596446443;21.300;21.3002312;20.800;19.500;1596446443;0
1596446466;21.300;21.3001844;20.800;19.500;1596446466;0
1596446488;21.300;21.3001132;20.800;19.700;1596446489;-1
1596446511;21.300;21.3000147;20.800;20.000;1596446512;-1
1596446534;21.300;21.2998876;20.800;20.100;1596446534;0
1596446557;21.299;21.2997391;20.800;20.000;1596446557;0
1596446579;21.299;21.2995798;20.800;20.200;1596446580;-1
1596446602;21.299;21.2994203;20.800;20.200;1596446603;-1
1596446625;21.299;21.2992711;20.800;20.200;1596446625;0
1596446648;21.299;21.2991429;20.800;20.400;1596446648;0
1596446670;21.299;21.2990460;20.800;20.400;1596446671;-1
1596446693;21.299;21.2989912;20.800;20.400;1596446694;-1
1596446716;21.299;21.2989889;20.800;20.300;1596446716;0
1596446739;21.299;21.2990498;20.800;20.400;1596446739;0
