ts;tr5;tr6;tr7;tw;twt;deltat
1596230771;22.1;22;21.649;14.9;1596230771;0
1596234121;22.099;22.0001564;21.606;14.2;1596234122;-1
1596237471;22;21.9960187;21.487;14.1;1596237472;-1
1596240821;22.026;21.8678743;21.399;13.8;1596240822;-1
1596244171;21.9;21.7874028;21.4;13.8;1596244172;-1
1596247521;21.911;21.8063309;21.4;13.5;1596247522;-1
1596250871;21.905;21.7006778;21.3;14;1596250872;-1
1596254221;21.8;21.6997783;21.183;15;1596254222;-1
1596257571;21.8;21.7000759;21.311;15.9;1596257572;-1
1596260921;21.842;21.7858489;21.178;16.8;1596260922;-1
1596264271;21.897;21.8007737;21.3;17.2;1596264272;-1
1596267621;21.988;21.7905369;21.399;17.5;1596267622;-1
1596270971;21.992;21.7925781;21.4;18.6;1596270972;-1
1596274322;22.001;21.8997071;21.392;20.7;1596274322;0
1596277672;22.114;21.9022172;21.436;19.5;1596277672;0
1596281022;22.157;21.9964489;21.5;20;1596281022;0
1596284372;22.1;21.9999963;21.534;21.2;1596284372;0
1596287722;22.099;21.9989849;21.988;20.5;1596445023;-157301
1596291072;22.096;21.9962481;22.402;20.5;1596445023;-153951
1596294422;22.091;21.991861;22.777;20.5;1596445023;-150601
1596297772;22.084;21.9858982;23.114;20.5;1596445023;-147251
1596301122;22.075;21.9784348;23.416;20.5;1596445023;-143901
1596304472;22.065;21.9695455;23.682;20.5;1596445023;-140551
1596307822;22.053;21.9593052;23.915;20.5;1596445023;-137201
1596311172;22.04;21.9477888;24.116;20.5;1596445023;-133851
1596314522;22.025;21.9350711;24.286;20.5;1596445023;-130501
1596317872;22.009;21.9212269;24.426;20.5;1596445023;-127151
1596321222;21.992;21.9063311;24.538;20.5;1596445023;-123801
1596324572;21.974;21.8904587;24.623;20.5;1596445023;-120451
1596327922;21.955;21.8736843;24.683;20.5;1596445023;-117101
1596331272;21.935;21.8560829;24.718;20.5;1596445023;-113751
1596334622;21.914;21.8377293;24.73;20.5;1596445023;-110401
1596337972;21.892;21.8186984;24.72;20.5;1596445023;-107051
1596341322;21.87;21.7990651;24.69;20.5;1596445023;-103701
1596344672;21.847;21.7789041;24.641;20.5;1596445023;-100351
